T, A, B, Oc, C, Oj tj, Dp, Dn, E, t1, dx1, dy1, s1, t2, dx2, dy2, s2, t3, dx3, dy3, s3, savg
475, -0.447, -0.0812, -0.0767, 0.629, 0.569, 0.113, 0.313, 0.394, 0.144, 30, 4.6, -0.85, 1.7e+02, 30, 4.1, -2, 1.6e+02, 30, 4.6, -0.19, 1.7e+02, 1.7e+02
472, -0.27, -0.0715, -0.254, 0.812, 0.248, 0.151, 0.611, 0.203, 0.116, 30, -0.084, 0.013, 32, 30, 0.044, -0.069, 33, 30, -0.3, 0.41, 36, 34
478, -0.628, -0.319, -0.191, 0.739, 0.637, 0.122, 0.679, 0.073, 0.0276, 2.9, 0.72, 0.063, 26, 2.8, 0.5, -0.14, 19, 2.5, 0.57, 0.28, 21, 22
485, -0.345, -0.184, -0.294, 0.302, 0.479, 0.12, 0.524, 0.343, 0.0813, 3.1, -0.27, 0.059, 6.9, 3.3, -0.35, -0.18, 8.3, 3.3, 0.12, -0.25, 9.4, 8.2
493, -0.419, -0.121, -0.112, 0.838, 0.546, 0.115, 0.54, 0.34, 0.14, 30, 4.1, -1.1, 1.6e+02, 30, 4.3, -0.67, 1.6e+02, 30, 3.8, -1.8, 1.5e+02, 1.5e+02
480, -0.319, -0.369, -0.294, 0.699, 0.523, 0.122, 0.5, 0.118, 0.0802, 30, 5.8, 1.2, 2.1e+02, 24, 4.7, -2.8, 1.7e+02, 30, 6.7, -1.5, 2.4e+02, 2e+02
480, -0.29, -0.366, -0.106, 0.646, 0.541, 0.122, 0.572, 0.202, 0.0743, 12, 1.9, 0.12, 70, 4.5, 0.87, 0.32, 32, 5.2, 0.88, -0.065, 33, 45
476, -0.383, -0.145, -0.0191, 0.261, 0.464, 0.122, 0.494, 0.316, -0.0136, 3.8, 0.65, 0.25, 25, 3.6, -0.2, -0.52, 10, 3.3, -0.46, 0.3, 9.9, 15
491, -0.285, -0.162, -0.295, 0.622, 0.449, 0.116, 0.474, 0.354, 0.0621, 30, 1.1, -2.4, 79, 30, 2.1, 2.5, 1.1e+02, 30, 3.2, 0.41, 1.3e+02, 1e+02
485, -0.259, -0.173, 0.0664, 1.03, 0.52, 0.124, 0.451, 0.37, 0.0894, 1, 0.46, -0.018, 16, 0.95, 0.43, -0.034, 15, 1, 0.45, -0.017, 16, 15
481, -0.401, -0.164, -0.351, 0.561, 0.461, 0.123, 0.344, 0.264, -0.0544, 30, 2.2, 2.5, 1.1e+02, 2.8, -0.18, -0.41, 8.3, 1.8, -0.35, 0.16, 6.7, 41
489, -0.378, -0.0849, -0.0817, 0.789, 0.527, 0.5, 0.711, 0.264, 0.168, 7.8, 0.39, 0.048, 21, 30, 0.43, 0.0079, 44, 16, -0.015, -0.12, 18, 28
493, -0.556, -0.0849, -0.151, 0.788, 0.493, 0.184, 0.386, 0.207, 0.17, 30, 4.7, 1.7, 1.7e+02, 27, 3.7, 2.8, 1.5e+02, 27, 3.3, 2.9, 1.4e+02, 1.5e+02
485, -0.417, -0.0934, -0.274, 0.783, 0.518, 0, -0.223, 0.186, 0.0843, 30, -0.69, -0.051, 38, 30, -0.64, -0.029, 37, 30, -0.62, -0.16, 37, 38
480, -0.584, -0.168, -0.156, 0.772, 0.586, 0, 0.26, 0.358, 0.11, 30, 1.8, 0.14, 86, 30, 1.4, 1.2, 77, 30, 1.3, 1.3, 75, 79
472, -0.562, -0.0255, -0.181, 0.8, 0.43, 0.165, 0.371, 0.137, 0.0231, 30, 5.1, -1.8, 1.9e+02, 30, -1.4, -1.7, 53, 30, -0.84, 0.11, 39, 93
483, -0.513, -0.019, -0.213, 0.85, 0.682, 0.153, 0.359, 0.337, 0.149, 30, 3.7, 0.74, 1.4e+02, 30, 3, 2, 1.3e+02, 30, 3.8, -0.00051, 1.5e+02, 1.4e+02
480, -0.407, -0.204, -0.0821, 0.73, 0.555, 0.12, 0.379, 0.367, 0.121, 24, 0.81, 2.9, 71, 30, 5.2, -0.72, 1.9e+02, 25, 2.8, -2.8, 1.2e+02, 1.3e+02
475, -0.495, -0.22, -0.275, 0.672, 0.552, 0.12, 0.397, 0.436, 0.128, 4.2, 0.079, 0.067, 7.8, 2.9, -0.35, 0.5, 10, 2.7, -0.36, 0.23, 7.9, 8.6
485, -0.48, -0.208, 0.0348, 0.827, 0.602, 0.126, 0.336, 0.428, 0.127, 1, 0.45, -0.031, 16, 0.95, 0.41, -0.025, 14, 1, 0.45, -0.037, 15, 15
481, -0.453, -0.218, -0.218, 0.827, 0.522, 0.126, 0.315, 0.438, 0.111, 30, 5.2, 1.4, 1.9e+02, 27, 4.2, 2.9, 1.6e+02, 30, 5.3, 1.7, 1.9e+02, 1.8e+02
472, -0.306, -0.0916, -0.216, 0.661, 0.541, 0.164, 0.396, 0.161, 0.008, 30, 2.3, -0.82, 1e+02, 30, -0.11, 2.3, 54, 26, 0.74, 2.8, 71, 76
475, -0.347, -0.15, -0.218, 0.821, 0.526, 0.187, 0.632, 0.159, 0.0274, 30, 2.9, 1.2, 1.2e+02, 30, 4, -1.9, 1.6e+02, 30, -0.9, -1.3, 47, 1.1e+02
471, -0.306, -0.144, -0.217, 0.718, 0.353, 0.224, 0.354, 0.222, 0.108, 30, -0.14, -0.33, 35, 30, 0.82, 0.87, 59, 30, 0.92, -0.18, 59, 51
477, -0.336, -0.426, -0.104, 0.775, 0.438, 0.224, 0.335, 0.161, 0.0529, 4.6, 0.5, 0.56, 23, 2.7, 0.64, -0.075, 23, 6.4, 0.59, 0.44, 27, 24
469, -0.506, -0.0819, -0.113, 0.811, 0.544, 0.119, 0.292, 0.48, 0.133, 30, 5.1, 0.59, 1.9e+02, 30, 5.1, 0.054, 1.8e+02, 30, 5.1, 0.15, 1.8e+02, 1.8e+02
470, -0.535, -0.0814, -0.136, 0.69, 0.551, 0.112, 0.291, 0.226, 0.122, 5.6, 0.19, -0.44, 15, 30, 4.2, -1.2, 1.6e+02, 12, 1, 0.0085, 43, 72
471, -0.463, -0.103, -0.0705, 0.761, 0.535, 0.129, -0.103, 0.366, 0.109, 30, 5.1, -0.3, 1.8e+02, 30, 5, 0.18, 1.8e+02, 30, 4.8, 1.3, 1.8e+02, 1.8e+02
489, -0.537, -0.0985, -0.133, 0.798, 0.622, 0.125, 0.00448, 0.259, 0.101, 30, 5.6, 0.73, 2e+02, 30, 5.5, -1.4, 2e+02, 30, 5.7, -0.15, 2e+02, 2e+02
474, -0.496, -0.0852, -0.12, 0.807, 0.585, 0.102, 0.709, -0.00761, 0.155, 30, 4.8, -0.9, 1.8e+02, 30, 4.8, -0.9, 1.8e+02, 30, 4.8, -0.56, 1.8e+02, 1.8e+02
468, -0.505, -0.0795, -0.114, 0.806, 0.572, 0.0997, 0.233, 0.483, 0.159, 30, 5, 1.3, 1.8e+02, 30, 4.9, 1.2, 1.8e+02, 30, 4.4, 2.4, 1.7e+02, 1.8e+02
465, -0.327, -0.0682, -0.286, 0.671, 0.656, 0.146, 0.248, 0.287, 0.00385, 30, 0.79, -1.7, 66, 30, 1.3, -2.3, 82, 30, 1.4, -2.5, 89, 79
465, -0.635, -0.121, -0.0662, 0.284, 0.477, 0.172, 0.462, 0.27, 0.00949, 2.5, 0.15, -0.56, 12, 2.6, 0.23, -0.61, 15, 2.3, -0.43, -0.4, 9.2, 12
479, -0.486, -0.231, -0.303, 0.967, 0.6, 0.122, 0.504, 0.363, 0.0834, 30, 1.3, -2.3, 83, 30, 3, 1.5, 1.2e+02, 30, 4, 0.7, 1.5e+02, 1.2e+02
490, -0.335, -0.23, -0.101, 0.91, 0.577, 0.12, 0.498, 0.38, 0.0636, 30, 2.9, -1.8, 1.2e+02, 30, 3.4, -0.41, 1.3e+02, 30, 2.4, -2.1, 1.1e+02, 1.2e+02
473, -0.544, -0.0963, -0.236, 0.76, 0.537, 0.159, -0.325, 0.188, 0.0341, 6.4, 0.76, 0.62, 32, 4.2, 0.19, 0.54, 15, 5.3, 0.24, 0.57, 17, 21
473, -0.509, -0.0893, -0.0554, 0.756, 0.529, 0.0906, -0.162, 0.375, 0.132, 30, 5.2, -0.25, 1.9e+02, 30, 5.2, 0.03, 1.9e+02, 30, 5.1, -0.8, 1.9e+02, 1.9e+02
475, -0.524, -0.0755, -0.0683, 0.812, 0.674, 0.0728, 0.298, 0.202, 0.0806, 1.1, 0.43, -0.014, 15, 1.1, 0.41, -0.006, 14, 1.1, 0.42, -0.0069, 15, 15
463, -0.551, -0.0781, -0.184, 0.711, 0.554, 0.194, 0.715, 0.121, 0.214, 12, 0.32, 0.063, 23, 30, 1.3, 0.86, 72, 5.2, 0.21, -0.12, 13, 36
489, -0.419, -0.07, -0.159, 0.81, 0.619, 0.149, 0.241, 0.331, 0.128, 30, 4.2, -1.9, 1.6e+02, 30, 4.2, -2, 1.6e+02, 30, 4, -2.4, 1.6e+02, 1.6e+02
479, -0.555, -0.0558, -0.0783, 0.808, 0.607, 0.146, 0.137, 0.293, 0.119, 30, 4.8, 1.7, 1.8e+02, 30, 5, -0.84, 1.8e+02, 30, 5.1, -0.54, 1.8e+02, 1.8e+02
479, -0.419, -0.146, -0.123, 0.78, 0.519, 0.119, 0.419, 0.0388, 0.0763, 30, 4.6, 0.77, 1.7e+02, 30, 4.4, 1.8, 1.7e+02, 30, 4.5, 1.5, 1.7e+02, 1.7e+02
479, -0.419, -0.146, -0.123, 0.78, 0.519, 0.119, 0.419, 0.0388, 0.0763, 30, 4.6, 0.098, 1.7e+02, 30, 4.6, 0.28, 1.7e+02, 30, 4.6, 1.3, 1.7e+02, 1.7e+02
472, -0.546, -0.224, -0.214, 0.833, 0.584, 0.191, 0.351, 0.234, 0.0479, 30, 5.2, -0.072, 1.9e+02, 30, 4.4, -2.1, 1.7e+02, 30, -0.27, 0.17, 34, 1.3e+02
469, -0.461, -0.133, -0.196, 0.829, 0.522, 0.131, 0.356, 0.263, 0.103, 30, 3.6, -1.6, 1.4e+02, 30, 3.5, -1.9, 1.4e+02, 30, 3.6, -1.3, 1.4e+02, 1.4e+02
475, -0.443, -0.266, -0.315, 0.809, 0.471, 0.137, 0.239, 0.435, 0.132, 30, 3.9, -0.23, 1.5e+02, 2.7, -0.27, 0.11, 6.6, 24, 0.43, 2.9, 62, 72
471, -0.444, -0.248, -0.234, 0.823, 0.505, 0.141, 0.208, 0.402, 0.133, 27, 3.3, 2.9, 1.4e+02, 28, 3.9, 2.9, 1.5e+02, 30, 3.8, 2.4, 1.5e+02, 1.5e+02
491, -0.222, -0.159, -0.226, 0.511, 0.552, 0.122, 0.461, 0.0965, 0.11, 30, 3.8, 0.057, 1.4e+02, 30, 3.7, 0.48, 1.4e+02, 30, 3.7, 0.13, 1.4e+02, 1.4e+02
486, -0.409, -0.174, -0.213, 0.339, 0.601, 0.119, 0.543, 0.0332, 0.0625, 3.5, -0.43, 0.57, 12, 3.2, -0.19, 0.33, 8, 3.2, -0.22, 0.29, 7.9, 9.2
475, -0.49, -0.0767, -0.131, 0.687, 0.605, 0.11, 0.365, 0.328, 0.172, 30, 5.2, -0.15, 1.9e+02, 30, 5.1, 1.5, 1.9e+02, 30, 5, 1.6, 1.8e+02, 1.9e+02
474, -0.46, -0.0893, -0.0906, 0.694, 0.645, 0.0859, 0.505, 0.206, 0.155, 22, 2.1, 2.9, 99, 23, 2.4, 2.9, 1.1e+02, 27, 3, 2.9, 1.3e+02, 1.1e+02
482, -0.545, -0.0871, -0.122, 0.802, 0.637, 0.116, 0.757, 0.171, 0.083, 29, 4.8, 2.9, 1.8e+02, 30, 5.4, 1.6, 2e+02, 27, 4.2, 2.9, 1.6e+02, 1.8e+02
493, -0.541, -0.0994, -0.129, 0.784, 0.604, 0.12, 0.142, 0.272, 0.0991, 30, 5.6, 1.5, 2e+02, 30, 5.6, 1.2, 2e+02, 30, 5.7, 1.1, 2e+02, 2e+02
479, -0.457, -0.0758, -0.126, 0.723, 0.547, 0.126, 0.432, 0.353, 0.161, 30, 4.9, 1.1, 1.8e+02, 30, 4.3, 2.3, 1.7e+02, 29, 4, 2.9, 1.6e+02, 1.7e+02
479, -0.457, -0.0758, -0.126, 0.723, 0.547, 0.126, 0.432, 0.353, 0.161, 30, 4.4, 2.4, 1.7e+02, 30, 4.5, 2, 1.7e+02, 30, 4.5, 2, 1.7e+02, 1.7e+02
479, -0.469, -0.0995, -0.152, 0.758, 0.444, 0.114, 0.366, 0.33, 0.103, 24, 2.1, 2.8, 1e+02, 23, 2.4, 2.8, 1.1e+02, 24, 2.6, 2.9, 1.2e+02, 1.1e+02
477, -0.448, -0.0746, -0.144, 0.747, 0.603, 0.111, 0.434, 0.343, 0.155, 30, 4.3, 2.1, 1.6e+02, 30, 4.3, 2, 1.6e+02, 30, 4.4, 1.8, 1.7e+02, 1.6e+02
489, -0.517, -0.113, -0.106, 0.63, 0.62, 0.0931, -0.133, 0.106, 0.148, 5.6, 0.62, 0.1, 25, 3.5, 0.49, 0.38, 20, 4.6, 0.045, -0.25, 9, 18
488, -0.398, -0.0956, -0.0944, 0.282, 0.625, 0.242, 0.444, 0.189, -0.0133, 14, 0.67, -0.9, 39, 25, 2.2, -0.87, 93, 5, 0.59, 0.51, 26, 53
473, -0.53, -0.0952, -0.134, 0.776, 0.553, 0.205, 0.35, 0.131, 0.0241, 30, 4.9, -1.2, 1.8e+02, 30, 4.7, -1.4, 1.8e+02, 30, 4.8, -1.6, 1.8e+02, 1.8e+02
473, -0.539, -0.0902, -0.188, 0.777, 0.506, 0.222, 0.355, 0.136, 0.0225, 30, 5.4, -1.8, 1.9e+02, 30, 4.7, 2.1, 1.8e+02, 30, 5.5, 1.5, 2e+02, 1.9e+02
472, -0.47, -0.216, -0.216, 0.777, 0.552, 0.24, 0.35, 0.351, 0.158, 30, 2.8, -0.32, 1.1e+02, 5.8, 1, -0.043, 37, 10, 1.8, -0.15, 67, 73
482, -0.488, -0.166, -0.213, 0.837, 0.582, 0.0716, 0.352, 0.272, 0.111, 30, 0.13, -0.075, 35, 30, 0.034, -0.14, 33, 30, 0.1, -0.099, 34, 34
486, -0.181, -0.136, -0.125, 0.533, 0.597, 0.118, 0.398, 0.174, -0.0292, 30, 2.9, -0.065, 1.2e+02, 30, 2.9, -0.21, 1.2e+02, 30, 2.7, -0.93, 1.1e+02, 1.2e+02
487, -0.495, -0.146, -0.306, 0.657, 0.569, 0.121, 0.378, 0.179, -0.00857, 2.6, 0.081, -0.48, 10, 1.9, -0.31, 0.21, 6.6, 2.5, 0.072, -0.43, 9.3, 8.7
480, -0.43, -0.261, -0.208, 0.828, 0.562, 0.122, 0.513, 0.428, 0.127, 30, 5.8, 1.8, 2.1e+02, 30, 6.8, -1.1, 2.4e+02, 30, 6.1, -1.9, 2.2e+02, 2.2e+02
481, -0.33, -0.16, -0.235, 0.745, 0.519, 0.122, 0.313, 0.0935, 0.0947, 25, 1.9, 2.9, 98, 30, 3.4, 2.3, 1.4e+02, 30, 3.5, 2.1, 1.4e+02, 1.3e+02
488, -0.476, -0.112, -0.169, 0.749, 0.625, 0.112, 0.246, 0.68, 0, 30, 4.9, -2.4, 1.8e+02, 30, 5.6, -0.13, 2e+02, 30, 5.7, 0.2, 2e+02, 1.9e+02
470, -0.448, -0.107, -0.307, 0.682, 0.593, 0.0969, 0.253, 0.232, 0.0882, 30, 3.3, 0.17, 1.3e+02, 30, 3.3, 0.13, 1.3e+02, 30, 3, 1.6, 1.3e+02, 1.3e+02
474, -0.453, -0.245, -0.218, 0.846, 0.533, 0.234, 0.322, 0.252, 0.137, 9.2, 1.5, -0.45, 57, 3.4, 0.67, -0.37, 25, 30, 4.1, -1.8, 1.6e+02, 80
473, -0.557, 0.0251, -0.238, 0.883, 0.518, 0.162, 0.336, 0.282, 0.194, 30, -0.068, -0.095, 32, 20, 2, 1, 84, 30, 3, -0.95, 1.2e+02, 80
471, -0.487, -0.0853, -0.144, 0.777, 0.519, 0.0749, 0.431, 0.0853, 0.0175, 30, 0.12, -0.26, 36, 30, 0.54, -0.46, 49, 30, 0.53, -1.1, 53, 46
475, -0.58, -0.11, -0.189, 0.776, 0.533, 0.218, 0.316, 0.214, 0.0278, 30, 5.9, 0.11, 2.1e+02, 30, 5.6, 1.4, 2e+02, 21, 2.8, 2.9, 1.2e+02, 1.8e+02
476, -0.405, -0.17, -0.111, 0.679, 0.476, 0.122, 0.419, 0.362, 0.16, 24, 1.8, 2.9, 95, 26, 2.5, 2.9, 1.1e+02, 30, 3.6, 2.1, 1.5e+02, 1.2e+02
475, -0.382, -0.305, -0.275, 0.656, 0.464, 0.117, 0.474, 0.34, 0.158, 30, 5.7, -0.73, 2e+02, 30, 5.4, 1.5, 1.9e+02, 15, 1.2, 1.2, 58, 1.5e+02
465, -0.543, -0.0667, -0.0709, 0.781, 0.413, 0.108, 0.371, 0.175, 0.146, 23, 2.7, 2.9, 1.2e+02, 26, 3.3, 2.9, 1.4e+02, 27, 3.6, 2.9, 1.5e+02, 1.3e+02
474, -0.538, -0.0699, -0.0963, 0.775, 0.505, 0.226, 0.26, -0.214, 0.0119, 30, 4.3, 0.79, 1.6e+02, 30, 4.3, -0.33, 1.6e+02, 30, 4.1, 0.93, 1.6e+02, 1.6e+02
473, -0.527, -0.0935, -0.191, 0.777, 0.7, 0.236, 0.349, 0.161, 0.0192, 24, 3.5, -2.8, 1.4e+02, 30, 5.2, 0.64, 1.9e+02, 30, 5, -0.17, 1.8e+02, 1.7e+02
469, -0.466, -0.123, -0.196, 0.762, 0.603, 0.13, -0.125, 0.363, 0.105, 30, -0.22, 0.53, 37, 21, 1.3, 2.9, 79, 30, 4.8, 1.4, 1.8e+02, 97
490, -0.465, -0.15, -0.143, 0.763, 0.532, 0.128, -0.114, 0.304, 0.0955, 30, 5.9, 2.1, 2.1e+02, 28, 4.2, 2.8, 1.6e+02, 30, 5.3, 2.5, 2e+02, 1.9e+02
473, -0.535, -0.0941, -0.139, 0.718, 0.565, 0.124, 0.767, 0.165, 0.219, 30, 5.5, 0.064, 2e+02, 30, 5.4, -1.1, 1.9e+02, 30, 5.6, 0.78, 2e+02, 2e+02
472, -0.515, -0.0941, -0.21, 0.794, 0.647, 0.0789, 0.509, 0.108, -0.00882, 30, 4.3, 1.6, 1.6e+02, 25, 2.4, 2.9, 1.1e+02, 30, 3.2, 2, 1.3e+02, 1.4e+02
465, -0.418, -0.0219, -0.254, 0.845, 0.425, 0.12, 0.534, 0.421, 0.123, 30, 2.4, 0.37, 1e+02, 30, 2.6, 0.064, 1.1e+02, 30, 2.5, 0.39, 1.1e+02, 1.1e+02
471, -0.434, -0.258, -0.189, 0.814, 0.44, 0.116, 0.549, 0.415, 0.138, 22, 4.1, 2.9, 1.5e+02, 30, 6.7, 0.27, 2.3e+02, 30, 6.6, -0.33, 2.3e+02, 2e+02
477, -0.576, -0.16, -0.131, 0.78, 0.459, 0.165, 0.323, 0.224, 0.0843, 4.4, 0.75, 0.5, 29, 16, 2.7, 1.1, 1e+02, 8.2, 0.83, 0.84, 38, 56
475, -0.362, -0.0762, -0.113, 0.778, 0.363, 0.193, 0.338, 0.0257, 0.0163, 30, 1, -1.7, 72, 30, -0.4, -0.53, 38, 30, 2.4, 1.3, 1.1e+02, 72
480, -0.457, -0.08, -0.186, 0.854, 0.536, 0.0962, 0.369, -0.0111, 0.0733, 30, -0.058, -1.7, 48, 25, 0.076, -2.8, 56, 26, 2.3, -2.8, 1.1e+02, 71
480, -0.546, -0.2, -0.0619, 0.771, 0.549, 0.265, 0.388, 0.346, 0.0287, 30, 0.52, 0.21, 47, 30, 0.39, -0.023, 43, 30, 0.91, 0.46, 60, 50
473, -0.433, -0.053, -0.0991, 0.765, 0.536, 0.101, -0.508, 0.156, 0.166, 30, 3.2, -0.86, 1.3e+02, 30, 3.3, 0.77, 1.3e+02, 30, 3, 1.4, 1.2e+02, 1.3e+02
472, -0.581, -0.0887, -0.0804, 0.78, 0.532, 0.138, 0.0445, 0.574, 0.171, 30, 4.9, 2, 1.8e+02, 30, 5.5, 0.39, 1.9e+02, 30, 5.5, 0.63, 2e+02, 1.9e+02
473, -0.479, -0.09, -0.129, 0.684, 0.664, 0.0907, 0.467, 0.3, 0.118, 30, 5.4, 0.51, 1.9e+02, 30, 5.2, 1.2, 1.9e+02, 30, 5.4, 0.42, 1.9e+02, 1.9e+02
474, -0.499, -0.0907, -0.0182, 0.727, 0.583, 0.0919, 0.808, 0.162, 0.153, 1.6, 0.48, 0.024, 17, 1.5, 0.45, 0.0013, 16, 1.7, 0.5, 0.035, 18, 17
487, -0.529, -0.22, -0.0963, 0.802, 0.512, 0.122, -0.109, 0.537, 0.1, 30, 5.2, -1.3, 1.9e+02, 30, 5.4, -1.1, 1.9e+02, 30, 5.5, -0.61, 2e+02, 1.9e+02
486, -0.444, -0.4, -0.141, 0.799, 0.575, 0.125, 0.139, 0.146, 0.103, 13, 2.2, -0.47, 81, 3.8, 0.84, -0.057, 30, 3.7, 0.84, -0.12, 30, 47
472, -0.476, -0.176, -0.168, 0.749, 0.536, 0.0818, 0.244, 0.376, 0.0726, 20, 2.6, 2.9, 1.1e+02, 30, 5.1, 1.1, 1.8e+02, 20, 2.2, 2.9, 1e+02, 1.3e+02
482, -0.483, -0.166, -0.123, 0.759, 0.557, 0.117, -0.277, 0.427, 0.0872, 30, 5.8, 1.1, 2.1e+02, 30, 5.8, 1.3, 2.1e+02, 30, 5.7, 1.3, 2e+02, 2.1e+02
475, -0.548, -0.0803, -0.131, 0.697, 0.48, 0.0656, 0.465, 0.411, 0.113, 22, 0.41, -0.89, 41, 30, -0.46, -0.26, 36, 22, 0.63, -0.47, 43, 40
474, -0.47, -0.0771, -0.108, 0.751, 0.543, 0.217, 0.416, 0.282, 0, 30, 4.8, -0.11, 1.8e+02, 30, 4.5, 0.12, 1.7e+02, 22, 1.1, -2.8, 77, 1.4e+02
472, -0.504, -0.215, -0.0602, 0.785, 0.487, 0.122, 0.412, 0.271, 0.0525, 29, 4.2, -2.8, 1.7e+02, 30, 5.3, -0.72, 1.9e+02, 30, 5.2, 1.5, 1.9e+02, 1.8e+02
462, -0.482, -0.275, -0.148, 0.786, 0.558, 0.116, 0.403, 0.306, 0.0755, 30, 5.4, -2.3, 2e+02, 27, 4.7, -2.8, 1.8e+02, 30, 6, -0.084, 2.1e+02, 1.9e+02
488, -0.456, -0.266, -0.311, 0.805, 0.602, 0.126, 0.43, 0.384, 0.0575, 10, 1.5, -0.83, 58, 4.7, 0.95, -0.49, 35, 23, 3.8, -2.3, 1.5e+02, 80
482, -0.445, -0.285, -0.276, 0.791, 0.578, 0.145, 0.46, 0.368, 0.136, 30, 6, 0.87, 2.1e+02, 30, 6, 0.71, 2.1e+02, 30, 6, 0.52, 2.1e+02, 2.1e+02
474, -0.528, -0.0856, -0.131, 0.798, 0.504, 0.103, 0.729, 0.114, 0.122, 30, 4.8, -0.082, 1.7e+02, 30, 4.6, 1.1, 1.7e+02, 30, 4.7, 0.52, 1.7e+02, 1.7e+02
474, -0.518, -0.0845, -0.129, 0.797, 0.561, 0.103, 0.506, -0.013, 0.124, 30, 4.4, 1.2, 1.6e+02, 30, 4.2, 1.3, 1.6e+02, 25, 2.6, 2.9, 1.2e+02, 1.5e+02
471, -0.507, -0.232, -0.15, 0.698, 0.626, 0.099, 0.656, 0.248, 0.12, 3.5, 0.62, 0.37, 24, 3.5, 0.78, 0.087, 28, 4.7, 0.78, 0.099, 29, 27
471, -0.78, -0.0751, -0.0487, 0.648, 0.543, 0.133, 0.557, 0.306, 0.0756, 2.6, -0.3, -0.36, 8.3, 3.1, 0.44, -0.054, 17, 3.5, 0.5, -0.35, 20, 15
478, -0.503, -0.298, -0.204, 0.732, 0.569, 0.115, 0.676, 0.47, 0.172, 5.3, 0.97, 0.71, 38, 5.4, 1.1, 0.34, 41, 4.3, 0.15, 0.86, 17, 32
479, -0.44, -0.285, -0.156, 0.626, 0.556, 0.0936, 0.495, 0.169, 0.158, 4.2, 0.08, -0.3, 9.9, 3.2, -0.25, -0.12, 7, 4, 0.66, -0.38, 26, 14
478, -0.441, -0.223, -0.158, 0.877, 0.596, 0.13, 0.388, 0.398, 0.13, 30, 5.8, -2.7, 2.1e+02, 30, 6, -2.2, 2.2e+02, 30, 6.4, -0.98, 2.2e+02, 2.2e+02
481, -0.434, -0.204, -0.24, 0.765, 0.569, 0.108, 0.456, 0.487, 0.0938, 30, 5.5, 0.91, 2e+02, 30, 4.9, 2.3, 1.8e+02, 30, 5, 2.4, 1.9e+02, 1.9e+02
475, -0.484, -0.0952, -0.0903, 0.706, 0.53, 0.0855, 0.43, 0.109, 0.192, 30, 3.9, 2.1, 1.5e+02, 30, 4.6, 0.21, 1.7e+02, 30, 4.6, 1.1, 1.7e+02, 1.6e+02
476, -0.474, -0.0915, -0.121, 0.682, 0.597, 0.0887, 0.535, -0.0435, 0.197, 30, 4.7, 0.13, 1.7e+02, 30, 4.7, 0.36, 1.7e+02, 30, 4.7, 0.43, 1.7e+02, 1.7e+02
477, -0.351, -0.299, -0.216, 0.873, 0.566, 0.116, 0.478, 0.369, 0.165, 30, 4.5, 1.5, 1.7e+02, 29, 3.8, 2.9, 1.5e+02, 30, 4.7, -0.75, 1.7e+02, 1.6e+02
484, -0.324, -0.322, -0.247, 0.861, 0.492, 0.156, 0.293, 0.366, 0.137, 30, 3.7, 0.98, 1.4e+02, 30, 3.8, -0.3, 1.5e+02, 30, 2.7, -2.2, 1.2e+02, 1.4e+02
500, -0.482, -0.182, -0.107, 0.767, 0.526, 0.0986, -0.0108, 0.472, 0.156, 30, -0.038, -0.5, 36, 30, -0.061, -0.67, 38, 30, -0.18, -0.37, 35, 36
498, -0.484, -0.0647, -0.11, 0.813, 0.563, 0.0974, -0.259, 0.263, 0.101, 30, 1.3, -1.6, 78, 30, 0.51, -2.2, 64, 30, 0.098, -2, 53, 65
485, -0.437, -0.47, -0.319, 0.703, 0.553, 0.134, 0.736, 0.18, 0.138, 2.9, 0.53, 0.42, 21, 2.6, 0.035, -0.28, 7.1, 2.8, 0.23, 0.72, 16, 15
475, -0.474, -0.364, -0.154, 0.822, 0.581, 0.122, 0.214, 0.36, 0.0483, 6.6, 0.98, -0.15, 37, 13, 1.9, -1.2, 74, 6.2, 1, -0.41, 39, 50
473, -0.452, -0.0984, -0.127, 0.787, 0.469, 0.145, 0.349, 0.495, -0.0158, 30, 3.2, 0.37, 1.3e+02, 24, -1.2, -2.8, 56, 30, 4.7, 0.36, 1.7e+02, 1.2e+02
474, -0.78, -0.101, -0.123, 0.771, 0.453, 0.221, 0.388, 0.0669, -0.0171, 2.5, 0.56, 0.16, 21, 3.2, -0.23, 0.17, 7.1, 2.9, 0.49, 0.057, 19, 15
462, -0.482, -0.4, -0.148, 0.786, 0.558, 0.116, 0.403, 0.306, 0.0755, 3.3, 0.7, 0.23, 26, 3.4, 0.24, -0.38, 14, 3.8, 0.66, -0.14, 25, 21
477, -0.516, -0.194, -0.129, 0.797, 0.529, 0.112, 0.456, 0.42, 0.0955, 30, 6.8, -1.6, 2.4e+02, 30, 7, 0.62, 2.4e+02, 30, 6.9, 0.032, 2.4e+02, 2.4e+02
480, -0.484, -0.0278, -0.125, 0.792, 0.556, 0.115, 0.464, 0.384, 0.0874, 30, 4.3, -1.4, 1.6e+02, 30, 4.2, -1.7, 1.6e+02, 30, 4.5, -0.47, 1.7e+02, 1.6e+02
478, -0.526, -0.092, -0.187, 0.79, 0.559, 0.0753, 0.381, 0.274, 0.00269, 30, 0.28, -0.55, 43, 30, 0.14, -0.58, 40, 30, 0.2, -0.056, 37, 40
