T, A, B, Oc, C, Oj, tj, Dp, Dn, E, t1, dx1, dy1, s1, t2, dx2, dy2, s2, savg
211, -0.745, -0.318, -0.28, 0.505, 0.952, 0.26, 0.517, 0.569, 0.0967, 0.75, 0.31, -0.088, 12, 0.75, 0.33, -0.062, 12, 8.2
508, -0.237, -0.164, -0.0158, 1.01, 0.458, 0.0876, 0.357, 0.788, 0.241, 15, 0.81, -0.54, 57, 15, 0.76, 0.16, 54, 37
574, -0.202, -0.192, -0.35, 0.841, 1.29, 0.464, 0.478, 0.0415, 0.112, 0.65, 0.39, 0.037, 14, 0.62, 0.38, 0.032, 14, 9.2
272, -0.372, -0.0614, -0.151, 0.326, 1.19, 0.446, 0.481, 0.837, 0.271, 0.68, 0.38, -0.041, 14, 0.68, 0.38, -0.04, 14, 9.2
381, -0.891, -0.0474, -0.308, 1.15, 1.25, 0.32, 0.258, 0.0955, 0.0349, 0.68, 0.39, 0.015, 14, 0.68, 0.4, 0.015, 14, 9.5
322, -0.712, -0.385, -0.182, 0.438, 0.705, 0.465, 0.239, 0.0745, 0.116, 1.1, 0.27, 0.069, 12, 1, 0.3, 0.059, 12, 7.9
241, -0.332, -0.0684, -0.218, 0.52, 0.424, 0.216, 0.362, 0.62, 0.144, 3, -0.19, 0.16, 9.6, 3.5, 0.35, -0.065, 19, 9.4
500, -0.831, -0.0533, -0.273, 0.501, 0.924, 0.0248, 0.0878, 0.387, 0.282, 0.82, 0.4, -0.053, 15, 0.85, 0.41, -0.048, 15, 9.9
225, -0.706, -0.0325, -0.0852, 0.322, 0.599, 0.385, 0.354, 0.231, 0.299, 1.8, 0.061, 0.1, 7, 2.6, -0.27, 0.27, 9.9, 5.6
317, -0.878, -0.067, -0.0293, 0.575, 0.122, 0.31, 0.522, 0.00145, 0.0313, 1.2, 0.014, 0.23, 6.1, 1.1, -0.15, -0.19, 5.7, 3.9
460, -0.313, -0.0861, -0.341, 0.226, 0.0872, 0.0152, 0.504, 0.074, 0.0878, 0.62, -0.38, -0.00066, 6.1, 0.62, -0.38, -0.00017, 6, 4
385, -0.945, -0.147, -0.299, 0.836, 0.925, 0.0501, 0.127, 0.229, 0.487, 0.82, 0.43, -0.0092, 15, 0.82, 0.43, -0.0025, 15, 10
263, -0.645, -0.0406, -0.0468, 1.09, 0.402, 0.00469, 0.831, 0.902, 0.499, 15, 0.83, 0.54, 57, 15, 0.51, 0.42, 48, 35
240, -0.232, -0.351, -0.266, 0.361, 0.139, 0.377, 0.318, 0.555, 0.271, 0.8, -0.32, -0.13, 6, 0.8, -0.32, -0.13, 6.1, 4
476, -0.797, -0.0241, -0.331, 1.31, 0.0576, 0.379, 0.738, 0.792, 0.151, 0.65, -0.37, -0.074, 6.1, 0.65, -0.37, -0.061, 6, 4
323, -0.722, -0.384, -0.312, 1.26, 0.709, 0.219, 0.251, 0.18, 0.097, 1.6, 0.53, -0.13, 20, 2, 0.51, -0.19, 21, 14
360, -0.687, -0.367, -0.239, 0.321, 0.708, 0.116, 0.309, 0.0983, 0.101, 1.3, -0.31, 0.22, 7.5, 1.4, -0.3, 0.24, 7.6, 5
442, -0.611, -0.326, -0.139, 1.04, 0.84, 0.245, 0.063, -0.126, 0.245, 0.88, 0.44, 0.008, 16, 0.9, 0.45, 0.0022, 16, 11
377, -0.479, -0.321, -0.152, 0.427, 0.403, 0.51, 0.624, 0.792, 0.331, 2.6, -0.25, -0.037, 8.7, 2.5, 0.15, -0.085, 11, 6.4
459, -0.0776, -0.0472, -0.4, 0.234, 0.652, -0.0468, 0.478, 0.0765, 0.114, 1.5, -0.38, -0.0036, 7.8, 1.6, -0.39, -0.0018, 8.1, 5.3
445, -0.587, -0.0529, -0.319, 0.362, 0.449, 0.163, 0.476, 0.134, 0.128, 1.6, -0.37, -0.011, 7.9, 1.6, -0.35, -0.0097, 7.7, 5.2
482, -0.36, -0.21, -0.014, 1.19, 0.326, 0.267, 1.01, 0.439, 0.263, 2.7, 0.43, 0.25, 20, 4.5, 1, -0.0042, 40, 20
483, -0.18, -0.147, -0.0417, 1.02, 0.715, 0.0815, 0.131, 0.277, 0.253, 0.95, 0.41, -0.042, 15, 0.98, 0.43, -0.021, 16, 10
221, -0.833, -0.0454, -0.403, 0.864, 0.225, 0.00902, 0.0533, 0.438, 0.259, 0.6, -0.36, 0.0035, 5.8, 0.62, -0.39, 0.0054, 6.1, 4
453, -0.662, -0.0456, -0.25, 0.489, 1.11, 0.026, 0.0559, 0.622, 0.267, 0.68, 0.39, -0.00029, 14, 0.68, 0.4, 0.001, 14, 9.4
511, -0.0772, -0.203, -0.517, 0.853, 0.23, 0.356, 0.441, 0.798, 0.0144, 0.57, -0.36, -0.014, 5.8, 0.57, -0.37, -0.015, 5.8, 3.9
504, -0.987, -0.0563, -0.278, 0.976, 0.234, 0.0266, 0.336, 0.825, 0.227, 1, -0.36, 0.092, 6.8, 1, -0.37, 0.099, 6.8, 4.6
532, -0.247, -0.0588, 0.0172, 0.517, 0.311, 0.114, 0.431, -0.333, 0.214, 15, 0.058, -0.018, 33, 15, 0.1, -0.029, 34, 22
525, -0.243, -0.101, -0.135, 1.01, 0.253, 0.112, 0.375, 0.264, 0.284, 15, 0.2, -0.095, 37, 15, 0.39, -0.12, 43, 27
539, -0.749, -0.296, -0.329, 0.274, 0.271, 0.438, 0.0902, 0.665, 0.333, 0.85, -0.37, 0.062, 6.5, 0.82, -0.36, 0.049, 6.3, 4.3
383, -0.824, -0.318, -0.315, 0.23, 0.094, 0.345, 0.179, 0.61, 0.331, 0.65, -0.37, -0.036, 6, 0.65, -0.37, -0.036, 6, 4
474, -0.711, -0.079, -0.329, 1.33, 0.123, 0.374, 0.564, 0.68, 0.19, 0.68, -0.36, -0.076, 6, 0.68, -0.36, -0.078, 6.1, 4
474, -0.808, -0.0499, -0.331, 1.31, 0.22, 0.431, 0.461, 0.815, 0.226, 0.77, -0.35, -0.069, 6.1, 0.8, -0.36, -0.07, 6.3, 4.1
400, -0.295, -0.263, -0.429, 0.269, 0.514, 0.217, 0.442, 0.272, 0.039, 1.1, -0.33, -0.13, 6.8, 1.1, -0.34, -0.13, 6.9, 4.6
326, -0.352, -0.287, -0.228, 0.556, 0.886, 0.0868, 0.434, 0.721, 0.0371, 0.8, 0.39, 0.012, 14, 0.8, 0.39, -0.00088, 14, 9.6
449, -0.781, 0.0269, -0.129, 0.722, 1.06, 0.283, 0.58, 0.163, 0.471, 0.73, 0.4, 0.066, 15, 0.73, 0.4, 0.062, 15, 9.7
445, -0.784, -0.111, -0.139, 0.2, 1.27, 0.164, 0.563, 0, 0.489, 0.68, 0.37, -0.0039, 13, 0.7, 0.38, -0.0076, 14, 9.1
440, -0.827, -0.055, -0.271, 0.497, 0.927, 0.0532, 0.118, 0.336, 0.158, 0.85, 0.41, -0.049, 15, 0.82, 0.41, -0.051, 15, 10
469, -0.85, -0.0536, -0.266, 0.503, 0.923, 0.127, 0.297, 0.374, 0.108, 0.82, 0.41, -0.037, 15, 0.82, 0.4, -0.021, 15, 9.8
