T, A, B, Oc, C, Oj, tj, Dp, Dn, E, t1, dx1, dy1, s1, t2, dx2, dy2, s2, savg
283, -0.182, -0.291, -0.186, 1.38, 0.463, 0.135, 0.463, 0.966, 0.141, 15, 1.3, 0.24, 69, 15, 1.2, 0.65, 69, 46
394, -0.298, -0.369, -0.156, 1.04, 0.517, 0.13, 0.504, 0.296, 0.16, 15, 2.9, 0.87, 1.2e+02, 15, 2.9, -0.65, 1.2e+02, 79
438, -0.358, -0.364, -0.138, 1.08, 0.517, 0.107, 0.336, 0.339, -0.298, 2.8, 0.75, 0.065, 29, 2.6, 0.67, 0.13, 27, 19
369, -0.449, -0.164, -0.214, 1.11, 0.53, 0.149, -0.0472, 0.107, -0.0334, 15, 2.2, 1.8, 1e+02, 15, 2.7, 1.9, 1.2e+02, 74
334, -0.479, -0.27, -0.212, 1.21, 0.48, 0.095, 0.414, 1.49, 0.32, 15, 2.7, 0.34, 1.1e+02, 15, 2.9, -0.69, 1.2e+02, 77
362, -0.528, -0.174, -0.259, 0.891, 0.611, 0.126, -0.0156, 1.23, 0.238, 15, 1.1, 1.6, 71, 15, 3.1, 0.28, 1.2e+02, 65
366, -0.567, -0.277, -0.209, 1.28, 0.554, 0.088, 0.194, 1.28, 0.291, 15, 1.3, 1.8, 78, 15, 2.5, 0.2, 1.1e+02, 61
365, -0.415, -0.362, -0.156, 0.935, 0.517, 0.101, 0.349, 0.34, 0.5, 4.3, 0.88, -0.065, 36, 9.9, 1.3, 1.1, 63, 33
333, -0.467, -0.362, -0.153, 1.11, 0.518, 0.107, 0.322, 0.34, -0.236, 3.6, 1.1, 0.1, 41, 2.3, 0.71, -0.0037, 27, 23
341, -0.29, -0.26, -0.163, 1.34, 0.505, 0.0994, 0.461, -0.0126, -0.0364, 15, 1.2, 0.41, 67, 15, 1.2, 0.17, 66, 44
341, -0.464, -0.245, -0.156, 1.19, 0.434, 0.0635, 0.454, -0.0233, 0.108, 15, 2, -0.18, 92, 15, 1.9, -0.77, 88, 60
310, -0.363, -0.276, -0.188, 1.04, 0.516, 0.132, 0.436, 0.728, -0.298, 15, 1.9, 1.7, 94, 11, 3.1, 0.022, 1.2e+02, 70
363, -0.39, -0.27, -0.199, 1.07, 0.47, 0.136, 0.682, 0.797, -0.0298, 15, 3, 0.59, 1.2e+02, 15, 3.1, 0.55, 1.3e+02, 82
353, -0.523, -0.283, -0.304, 0.403, 0.492, 0.112, 0.498, 1.05, 0.143, 1.3, -0.26, -0.14, 6.5, 1.2, -0.29, -0.14, 6.7, 4.4
339, -0.661, -0.279, -0.345, 1.39, 0.499, 0.0887, 0.433, 0.663, 0.154, 15, 2.6, -0.66, 1.1e+02, 15, 2.4, 0.81, 1.1e+02, 72
314, -0.32, -0.184, -0.195, 1.03, 0.474, 0.107, 0, 0.732, -0.0373, 15, 2.1, -1.8, 1e+02, 15, 2.1, -1.5, 1e+02, 67
298, -0.43, -0.203, -0.198, 0.918, 0.508, 0.117, 0.943, 0.205, 0.0847, 15, 2.5, 0.0015, 1.1e+02, 15, 2.3, 1, 1e+02, 70
378, -0.542, -0.352, -0.4, 1.38, 0.446, 0.138, 0.483, 0.0444, 0.145, 2, -0.31, -0.064, 8, 1.5, -0.32, -0.1, 7.3, 5.1
407, -0.421, -0.293, -0.155, 0.86, 0.525, 0.055, 0.908, -0.00191, -0.0187, 15, 1.2, -1.6, 75, 15, 1.5, -1.1, 80, 51
323, -0.424, -0.242, -0.155, 1.25, 0.523, 0.0726, 0.952, -0.0905, -0.00397, 15, 2, 1.7, 98, 15, 2.2, 1.6, 1e+02, 67
360, -0.491, -0.216, -0.197, 1.04, 0.502, 0.0946, 0.0649, 0.65, 0.432, 15, 1.6, -1.6, 85, 15, 2.4, -0.64, 1e+02, 63
351, -0.435, -0.25, -0.164, 0.943, 0.554, 0.121, 0.335, -0.13, -0.211, 6.9, 1.6, 0.9, 67, 4.6, 1.2, -0.12, 47, 38
379, -0.487, -0.269, -0.173, 1.34, 1.4, 0.133, 0.369, 0.354, 0.123, 0.62, 0.35, -0.0029, 13, 0.62, 0.35, -0.031, 13, 8.4
378, -0.533, -0.203, -0.11, 0.939, 0.579, 0.136, 0.669, -0.497, 0.212, 15, 1.9, -0.82, 89, 15, 0.45, 1.4, 55, 48
332, -0.505, -0.193, -0.195, 0.999, 0.472, 0.134, -0.553, 0.584, 0.365, 15, 1.2, -1.9, 77, 15, 2.4, -0.22, 1e+02, 59
289, -0.467, -0.193, -0.196, 1.02, 0.541, 0.134, -0.193, 1.15, 0.497, 15, 2, -0.064, 91, 15, 1.8, 0.84, 87, 59
358, -0.564, -0.39, -0.292, 1.28, 0.431, 0.109, 0.47, 0.00242, 0.163, 15, 0.27, 1.1, 48, 11, 0.77, 1.5, 55, 34
344, -0.568, -0.353, -0.308, 1.11, 0.486, 0.119, 0.442, -0.00733, 0.15, 15, 3.3, 1.4, 1.3e+02, 15, 3.9, 0.71, 1.5e+02, 94
380, -0.304, -0.355, -0.154, 0.873, 0.518, 0.0805, 0.496, 0.213, -0.0404, 15, 2.5, -0.59, 1.1e+02, 15, 2.7, 0.13, 1.1e+02, 73
332, -0.524, -0.254, -0.152, 0.989, 0.523, 0.153, 0.365, 0.0743, 0.00311, 15, 2.8, -0.035, 1.2e+02, 15, 2.8, 0.15, 1.1e+02, 76
318, -0.386, -0.176, -0.149, 1.17, 0.505, 0.169, 0.753, 0.238, -0.0622, 15, 1.5, 2.1, 88, 15, 1.7, 1.8, 91, 59
318, -0.393, -0.267, -0.146, 1.17, 0.507, 0.134, 0.445, 0.276, -0.0583, 15, 2.2, -1.3, 1e+02, 15, 2.1, -1.6, 98, 67
300, -0.459, -0.258, -0.189, 1.26, 0.504, 0.117, 0.466, 0.869, -0.0228, 15, 3.5, 1, 1.4e+02, 15, 3.5, 1.4, 1.4e+02, 92
307, -0.471, -0.282, -0.159, 1.1, 0.511, 0.0905, 0.447, -0.0542, -0.0495, 15, 2.7, 1, 1.1e+02, 15, 2.5, -1.1, 1.1e+02, 74
379, -0.486, -0.195, -0.17, 1.09, 0.451, 0.132, 0.175, 0.0233, 0.325, 15, 2.1, 0.65, 95, 15, 2.3, -0.4, 99, 65
379, -0.514, -0.17, -0.086, 1.38, 0.588, 0.136, 0.381, 0.67, 0.367, 4.8, 1.3, 0.064, 50, 4.6, 1.3, 0.31, 49, 33
380, -0.437, -0.304, -0.156, 0.906, 0.517, 0.5, 0.311, -0.00499, -0.0109, 2, 0.33, -0.028, 15, 6, 0.37, -0.73, 29, 15
393, -0.407, -0.296, -0.158, 0.785, 0.52, 0.0442, 0.364, 0.166, -0.0292, 15, 0.14, -0.011, 35, 15, 0.2, -0.019, 37, 24
364, -0.844, -0.381, -0.167, 1.42, 0.427, 0.0719, 0.504, 0.246, 0.124, 15, 1.6, -1.8, 88, 2.6, 0.7, 0.014, 27, 38
318, -0.373, -0.339, -0.148, 0.935, 0.43, 0.134, 0.499, 0.327, 0.125, 15, -0.072, -1.3, 44, 15, -0.28, -0.81, 40, 28
341, -0.325, -0.243, -0.176, 1.1, 0.465, 0.069, 0.461, 0.164, 0.163, 15, 0.88, 0.61, 59, 15, 1.1, -0.038, 65, 41
342, -0.661, -0.271, -0.151, 1.21, 0.469, 0.088, 0.483, 0.0937, 0.154, 15, 3.2, 0.3, 1.3e+02, 15, 3.1, 0.29, 1.2e+02, 83
288, -0.127, -0.285, -0.115, 1.13, 0.465, 0.132, 0.462, 0.781, 0.0132, 15, 1.7, -0.014, 82, 15, 1.7, 0.089, 83, 55
319, -0.393, -0.275, -0.144, 1.51, 0.466, 0.0886, 0.464, 0.476, -0.0404, 15, 2.1, 2.4, 1e+02, 15, 2.3, 2.2, 1.1e+02, 71
473, -0.425, -0.4, -0.171, 0.973, 0.471, 0.114, 0.458, 0.0228, 0.135, 15, -0.27, -0.0022, 34, 15, -0.57, -1.2, 45, 26
378, -0.639, -0.282, -0.147, 0.975, 0.324, 0.11, 0.438, 0.0253, 0.304, 3.1, 0.6, -0.28, 26, 3.4, 0.83, 0.056, 33, 19
388, -0.301, -0.348, -0.185, 1.24, 0.443, 0.128, 0.362, 0.0667, 0.109, 15, 1.9, -0.2, 87, 15, 0.98, -1.1, 65, 51
376, -0.573, -0.243, -0.174, 1.45, 0.524, 0.125, 0.489, 0.189, 0.0505, 15, 2.7, -0.22, 1.1e+02, 15, 2.7, -0.28, 1.1e+02, 75
274, -0.337, -0.286, -0.193, 0.897, 0.518, 0.144, 0.457, 0.473, 0.045, 15, 0.074, -1.2, 44, 15, 0.25, -1.4, 51, 32
394, -0.346, -0.258, -0.196, 1.22, 0.525, 0.127, 0.446, 0.351, -0.0765, 15, 3.2, 1.4, 1.3e+02, 15, 3.3, 1.3, 1.3e+02, 88
413, -0.977, -0.268, -0.124, 1.11, 0.437, 0.112, 0.321, 0.639, -0.0253, 2.6, 0.68, 0.37, 28, 2.5, 0.61, -0.11, 24, 17
306, -0.513, -0.286, -0.118, 1.09, 0.436, 0.108, 0.326, 0.0903, 0.464, 15, 1.9, 0.81, 90, 15, 2.2, 0.8, 98, 63
428, -0.594, -0.186, -0.167, 1.03, 0.373, 0.117, 0.311, 0.841, 0.0431, 15, 3.5, -1.2, 1.4e+02, 15, 3.7, -0.13, 1.4e+02, 93
236, -0.583, -0.208, -0.152, 1.02, 0.293, 0.124, 0.786, 1, 0.0652, 15, 3.1, 0.49, 1.3e+02, 15, 3.1, -0.61, 1.2e+02, 83
328, -0.618, -0.23, -0.261, 1.1, 0.522, 0.134, -0.231, 1.34, 0.288, 15, 2.6, 1.3, 1.1e+02, 11, 2, -0.013, 82, 65
288, -0.483, -0.211, -0.229, 1.46, 0.555, 0.133, -0.00582, 1.2, 0.381, 15, 0.065, 1.3, 46, 15, -0.33, 0.58, 38, 28
315, -0.225, -0.4, -0.129, 1.06, 0.583, 0.166, 0.402, 0.0151, 0.619, 2.4, 0.68, -0.0083, 26, 2.2, 0.59, 0.0019, 23, 16
377, -0.697, -0.237, -0.0776, 1.04, 0.375, 0.12, 0.441, 0, 0.165, 4.5, 1, -0.12, 41, 11, 2.3, 0.57, 92, 44
320, -0.254, -0.292, -0.156, 0.727, 0.515, 0.135, 0.421, 0.101, -0.0211, 15, 2.1, -1, 95, 15, 2, -1.3, 95, 63
322, -0.474, -0.261, -0.154, 0.759, 0.526, 0.113, 0.304, 0.243, 0.0309, 5.5, 0.98, -0.37, 42, 3.7, 0.83, -0.16, 34, 25
392, -0.495, -0.302, -0.0905, 1.23, 0.46, 0.135, 0.354, -0.0493, 0.18, 15, 2.6, 0.087, 1.1e+02, 15, 2.6, 0.46, 1.1e+02, 73
398, -0.357, -0.373, -0.218, 0.578, 0.534, 0.135, 0.465, 0.713, 0.246, 4.7, 0.76, -0.28, 34, 2.9, 0.69, 0.0092, 28, 20
369, -0.666, -0.365, -0.247, 1.22, 0.543, 0.117, 0.442, 0.00846, 0.171, 2.8, 0.51, 0.61, 25, 2.8, 0.59, 0.52, 26, 17
349, -0.248, -0.295, -0.174, 1.24, 0.522, 0.123, 0.444, 0.0908, 0.153, 15, 0.15, 0.73, 41, 15, 0.33, 0.8, 46, 29
380, -0.558, -0.34, -0.228, 1.28, 0.468, 0.15, 0.478, 0.154, 0.15, 15, -0.61, -0.037, 37, 15, 0.4, 0.15, 43, 27
331, -0.55, -0.386, -0.175, 1.26, 0.444, 0.13, 0.481, -0.00162, 0.142, 15, 3.3, 0.84, 1.3e+02, 15, 3.2, 0.98, 1.3e+02, 86
323, -0.682, -0.203, -0.0485, 1.02, 0.351, 0.133, 0.423, 0.117, 0.077, 15, 1.2, 1.2, 73, 6.3, 1.1, 0.071, 46, 40
344, -0.662, -0.233, -0.253, 1.18, 0.146, 0.112, 0.422, 0.242, 0.242, 0.85, -0.4, -0.036, 6.7, 0.85, -0.38, -0.031, 6.5, 4.4
341, -0.479, -0.111, -0.173, 0.815, 0.509, 0.059, 0.477, 0.0632, -0.028, 15, -0.22, -0.92, 40, 15, -0.095, -0.93, 40, 27
347, -0.444, -0.14, -0.173, 0.704, 0.508, 0.0606, 0.473, 0.0982, -0.0159, 15, 0.82, 0.27, 56, 15, 0.78, 0.29, 55, 37
323, -0.519, -0.301, -0.164, 1.01, 0.411, 0.121, 0.731, -0.384, 0.0656, 15, 0.22, -1.5, 50, 15, -0.31, -0.68, 38, 30
290, -0.603, -0.27, -0.167, 1, 0.381, 0.135, 0.618, 0.899, 0.173, 15, 2.1, -0.51, 96, 15, 1.8, -1.1, 89, 62
404, -0.2, -0.341, -0.125, 1.03, 0.513, 0.0985, 0.351, 0.48, 0.299, 2.9, 0.69, 0.094, 28, 3.1, 0.75, 0.16, 30, 19
436, -0.266, -0.332, -0.119, 1.08, 0.508, 0.0911, 0.355, 0.518, 0.267, 3.5, 0.72, 0.023, 30, 3.2, 0.69, 0.092, 28, 19
316, -0.642, -0.223, -0.203, 1.25, 0.445, 0.127, 0.0979, 0.302, -0.000509, 15, 1.6, -1.9, 89, 15, 1.4, -1.9, 82, 57
316, -0.95, -0.26, -0.206, 0.983, 0.527, 0.0624, 0.478, 0.233, -0.0857, 2.5, 0.016, 0.48, 11, 4.7, 0.18, 0.3, 18, 9.5
295, -0.616, -0.197, -0.4, 1.14, 0.573, 0.133, 0.0168, 0.749, 0.402, 1.1, -0.34, -0.082, 6.7, 1.1, -0.33, -0.063, 6.6, 4.4
260, -0.564, -0.19, -0.197, 1.31, 0.604, 0.134, 0.304, 0.595, -0.228, 15, 3.7, -1, 1.4e+02, 15, 4.3, -0.71, 1.6e+02, 1e+02
323, -0.444, -0.275, -0.206, 1.33, 0.513, 0.0571, 0.466, -0.257, -0.0238, 15, 0.061, 1.2, 44, 15, 0.23, 1.3, 49, 31
363, -0.682, -0.251, -0.206, 1.34, 0.522, 0.1, 0.466, -0.0119, -0.00721, 15, 3.4, -1.7, 1.4e+02, 15, 2.7, -1.5, 1.2e+02, 85
390, -0.553, -0.223, -0.107, 1.02, 0.459, 0.143, -0.462, 1.17, 0.175, 15, 3, -0.21, 1.2e+02, 15, 3.1, 0.04, 1.2e+02, 82
439, -0.469, -0.4, -0.159, 0.989, 0.486, 0.101, 0.415, 0.318, 0.309, 3.9, 0.8, -0.4, 34, 3.8, 0.83, -0.12, 34, 22
417, -0.372, -0.264, -0.187, 0.778, 0.517, 0.133, 0.716, 0.712, -0.0293, 15, 2.9, 1, 1.2e+02, 15, 3.5, -0.0083, 1.4e+02, 85
381, -0.2, -0.228, -0.162, 1.18, 0.464, 0.109, 0.501, 0.732, -0.0227, 15, 2.6, -0.035, 1.1e+02, 15, 2.6, 0.28, 1.1e+02, 72
343, -0.642, -0.358, -0.351, 1.11, 0.484, 0.124, 0.674, -0.237, 0.3, 3.6, 0.81, 0.27, 33, 2.6, 0.67, -0.082, 26, 20
340, -0.469, -0.334, -0.291, 1.1, 0.488, 0.129, 0.603, -0.229, 0.14, 15, 0.059, 0.039, 33, 15, 0.38, 0.12, 43, 25
276, -0.486, -0.331, -0.16, 1.15, 0.497, 0.0623, 0.47, 0.14, 0.559, 15, 2.7, -0.38, 1.1e+02, 15, 2.7, 0.23, 1.1e+02, 75
359, -0.551, -0.409, -0.146, 1.35, 0.521, 0.092, 0.466, 0.237, -0.229, 2.2, 0.73, -0.086, 27, 3.2, 0.97, 0.019, 36, 21
371, -0.391, -0.139, -0.12, 1.02, 0.574, 0.132, -0.163, 0.305, 0.183, 15, -0.038, 0.89, 40, 15, 0.25, 1.1, 48, 29
373, -0.326, -0.389, -0.183, 0.994, 0.549, 0.133, 0.559, 0.51, -0.174, 2.7, 0.85, 0.28, 32, 2.5, 0.78, 0.27, 30, 21
341, -0.919, 0, -0.128, 1.34, 0.434, 0.0788, 0.463, 0.068, 0.0158, 15, 2.7, 0.47, 1.1e+02, 15, 2.7, -0.18, 1.1e+02, 75
353, -0.47, -0.307, -0.193, 1.18, 0.49, 0.0992, 0.479, 0.122, -0.0206, 15, 2.4, 2.9, 1.2e+02, 15, 2.6, 2.5, 1.2e+02, 79
347, -0.711, -0.3, -0.13, 1.3, 0.493, 0.117, 0.477, 0.148, -3.69e-05, 15, 4, 0.25, 1.5e+02, 15, 4, -0.14, 1.5e+02, 1e+02
340, -0.427, -0.191, -0.196, 1.06, 0.476, 0.145, 0.908, 0.339, 0.00452, 15, 2.6, 0.94, 1.1e+02, 15, 2.7, 0.45, 1.1e+02, 74
299, -0.57, -0.178, -0.198, 0.767, 0.503, 0.0962, 0.74, -0.0025, 0.00143, 3.8, 0.93, 0.19, 37, 7.7, 1.8, -0.19, 69, 35
434, -0.419, -0.22, -0.203, 0.988, 0.512, 0.129, 0.352, 0.763, 0.0396, 15, 2, 2.2, 1e+02, 15, 3.4, 0.65, 1.3e+02, 78
257, -0.429, -0.197, -0.166, 1.06, 0.487, 0.111, 0.325, 0.678, 0.0157, 15, 2.5, 1, 1.1e+02, 15, 2.3, 1.1, 1e+02, 70
365, -0.549, -0.253, -0.199, 1.04, 0.616, 0.133, 0.136, 1.35, -0.0956, 15, 3, 2.8, 1.3e+02, 15, 3.4, 2.1, 1.4e+02, 90
357, -0.343, -0.196, -0.199, 0.977, 0.567, 0.135, -0.371, 0.735, 0.544, 15, 0.077, 0.17, 34, 15, 0.6, 1.6, 60, 32
338, -0.483, -0.207, -0.2, 1.13, 0.517, 0.153, 0.462, 0.662, -0.0609, 15, 3.9, 0.92, 1.5e+02, 15, 3.9, 0.65, 1.5e+02, 1e+02
305, -0.384, -0.227, -0.176, 1.35, 0.51, 0.143, 0.449, 0.787, -0.0495, 15, 2.9, 1.4, 1.2e+02, 15, 2.2, 1.5, 1e+02, 75
361, -0.944, -0.374, -0.134, 0.968, 0.52, 0.155, 0.346, 0.428, 0.0832, 1.8, -0.057, -0.061, 5.4, 1.5, -0.18, 0.018, 5.8, 3.7
344, -0.33, -0.234, -0.124, 1.12, 0.412, 0.101, 0.511, 0.272, 0.124, 15, 1, -0.06, 63, 15, 1.1, 0.4, 64, 42
328, -0.69, -0.278, -0.172, 1.36, 0.507, 0.144, 0.453, 0, 0.0198, 15, 3, 0.92, 1.2e+02, 15, 3.2, 0.19, 1.3e+02, 83
360, -0.317, -0.277, -0.183, 1.37, 0.514, 0.0921, 0.456, -0.122, 0.02, 15, 0.53, -1.4, 57, 15, 1.6, -1.2, 84, 47
404, -0.854, -0.18, -0.132, 1.3, 0.478, 0.109, 0.457, 0.251, 0.0386, 15, 3, 2.6, 1.3e+02, 13, 2.4, 2.9, 1.1e+02, 81
329, -0.791, -0.194, -0.163, 1.35, 0.472, 0.0955, 0.468, 0.0261, -0.0837, 15, 2.9, 2.3, 1.3e+02, 15, 3.1, 2.5, 1.3e+02, 86
311, -0.328, -0.18, -0.205, 0.745, 0.518, 0.139, 0.471, 0.685, 0.0425, 15, 1.8, 1.5, 91, 15, 2, 1.2, 95, 62
422, -0.321, -0.246, -0.203, 1.23, 0.503, 0.145, 0.461, 0.221, -0.0194, 15, 3.1, 0.65, 1.2e+02, 15, 3, 0.85, 1.2e+02, 82
370, -0.255, -0.294, -0.192, 1.23, 0.521, 0.155, 0.548, 0.0921, 0.489, 15, 3.1, 2.6, 1.3e+02, 15, 4, -0.3, 1.5e+02, 96
385, -0.278, -0.169, -0.191, 1.05, 0.5, 0.153, 0.479, 0.307, 0.103, 15, 1.3, -0.59, 72, 15, 1.3, -0.45, 70, 47
267, -0.6, -0.3, -0.174, 1.02, 0.487, 0.128, 0.588, 0.732, 0.092, 3.7, 0.34, -0.32, 20, 1.4, 0.44, -0.11, 17, 12
273, -0.61, -0.276, -0.225, 1.01, 0.482, 0.13, 0.378, 0.614, 0.194, 2.2, 0.54, 0.24, 22, 6.5, 0.87, 0.59, 42, 21
220, -0.627, -0.245, -0.179, 1.23, 0.398, 0.131, 0.712, 0.939, 0.113, 15, -0.058, 0.9, 40, 15, 0.024, 1.1, 43, 28
355, -0.773, -0.213, -0.14, 1.32, 0.421, 0.0923, 0.421, 0.2, 0.0801, 15, -0.68, 1.5, 48, 15, -0.4, 2, 52, 33
284, -0.296, -0.27, -0.2, 1.08, 0.494, 0.133, 0.177, 1.38, -0.1, 15, 1.8, 2.9, 99, 14, 0.9, 2.9, 77, 59
352, -0.599, -0.267, -0.203, 1.08, 0.593, 0.131, 0.0996, 0.64, -0.126, 8.7, 2.7, 0.44, 99, 15, 4.5, -1, 1.7e+02, 89
327, -0.724, -0.313, -0.177, 1.21, 0.414, 0.143, 0.472, -0.00317, -0.0507, 2.4, 0.68, 0.31, 27, 2.3, 0.62, 0.42, 25, 17
374, -0.584, -0.265, -0.212, 1.33, 0.434, 0.143, 0.467, -0.00987, 0.131, 15, 0.11, 1.4, 47, 15, 0.29, 1.4, 51, 33
299, -0.345, -0.279, -0.252, 1.47, 0.48, 0.133, 0.471, 0.738, -0.0569, 14, 2.4, -2.8, 1.2e+02, 15, 3.9, 0.93, 1.5e+02, 88
297, -0.499, -0.227, -0.264, 0.825, 0.494, 0.135, 0.459, 0.742, -0.0463, 15, 2.4, 0.34, 1e+02, 15, 2.5, 0.093, 1e+02, 70
367, -0.555, -0.352, -0.252, 1.51, 0.464, 0.115, 0.432, 0.00807, 0.149, 15, -0.48, 1, 42, 15, 1.1, 1.8, 73, 39
351, -0.565, -0.353, -0.333, 1.08, 0.469, 0.146, 0.481, -0.0201, 0.148, 1.1, -0.24, -0.19, 6.3, 1.1, -0.21, -0.2, 6.2, 4.2
307, -0.408, -0.257, -0.183, 1.3, 0.505, 0.106, 0.46, 0.49, 0.126, 15, 0.55, 1.3, 56, 15, 1.4, 1.4, 79, 45
349, -0.17, -0.274, -0.195, 1.34, 0.537, 0.0732, 0.486, 0.791, 0.15, 15, 0.57, 0.41, 49, 15, 0.74, -0.42, 54, 35
364, -0.368, -0.263, -0.211, 1.36, 0.536, 0.141, 0.463, -0.0793, -0.0715, 15, 2, 2.2, 1e+02, 15, 0.16, 2.4, 58, 53
389, -0.643, -0.28, -0.149, 1.36, 0.492, 0.103, 0.459, 0.431, -0.0682, 15, 3.4, 1.8, 1.4e+02, 13, 1.2, 2.9, 82, 73
469, -0.422, -0.305, -0.195, 1.06, 0.487, 0.121, 0.64, 0.209, 0.788, 15, 0.84, 1.7, 66, 15, -0.18, 1.3, 44, 37
521, -0.445, -0.32, -0.122, 1.07, 0.505, 0.111, 0.4, 0.218, 0.186, 15, 0.35, 0.35, 43, 15, 2.8, -0.023, 1.2e+02, 53
323, -0.353, -0.205, -0.195, 1.29, 0.504, 0.126, 0.462, 0.46, -0.0115, 15, 2, -1.9, 98, 15, 2.9, -1.5, 1.2e+02, 73
423, -0.356, -0.237, -0.191, 1.42, 0.504, 0.107, 0.478, 1.15, -0.0654, 15, 2.1, 1.1, 97, 15, 1.4, 1.6, 79, 59
319, -0.287, -0.307, -0.103, 1.02, 0.459, 0.114, 0.369, 0.217, 0.257, 15, -0.088, -1.4, 45, 15, 0.7, -1.6, 63, 36
489, -0.634, -0.315, -0.116, 1.02, 0.477, 0.106, 0.487, 0.405, 0.24, 5.9, 1.1, -0.43, 48, 4.8, 1.1, -0.027, 44, 31
346, -0.497, -0.223, -0.169, 1.21, 0.521, 0.13, 0.494, -0.339, 0.443, 15, 1.2, 1.2, 71, 15, 2.1, 0.12, 93, 55
302, -0.294, -0.222, -0.187, 1.28, 0.519, 0.13, 0.451, 0.302, -0.0208, 15, 2.7, 0.74, 1.1e+02, 15, 1.9, 1.2, 91, 68
305, -0.313, -0.343, -0.181, 1.41, 0.492, 0.129, 0.483, 0.661, 0.225, 15, 1.5, 1.7, 84, 15, -0.3, 1.7, 48, 44
310, -0.298, -0.431, -0.191, 1.4, 0.454, 0.13, 0.477, -0.0953, 0.175, 15, 2.6, -1.2, 1.1e+02, 4.4, 1.1, 0.46, 42, 52
292, -0.438, -0.213, -0.206, 1.16, 0.525, 0.132, 0.961, 1.13, 0.0585, 15, 3.1, -1.2, 1.3e+02, 15, 3.2, 0.93, 1.3e+02, 84
292, -0.591, -0.224, -0.199, 1.17, 0.495, 0.135, 0.53, 1.24, 0.0477, 15, 4, 1.2, 1.5e+02, 15, 4.1, 0.49, 1.5e+02, 1e+02
342, -0.481, -0.442, -0.118, 1.15, 0.516, 0.114, 0.478, 0.502, -0.0926, 2.1, 0.7, 0.032, 26, 2.2, 0.7, 0.12, 27, 18
343, -0.491, -0.376, -0.193, 1.2, 0.518, 0.117, 0.484, 0.668, 0.0365, 15, 3.7, 0.81, 1.4e+02, 15, 3.3, 1.8, 1.4e+02, 93
296, -0.256, -0.224, -0.194, 1.32, 0.504, 0.13, 0.454, 0.711, -0.0362, 15, 2.8, -0.11, 1.2e+02, 15, 2.8, -0.42, 1.2e+02, 78
294, -0.244, -0.251, -0.181, 1.12, 0.516, 0.134, 0.465, 0.704, -0.0266, 15, 2.6, -0.13, 1.1e+02, 15, 2.6, 0.16, 1.1e+02, 72
294, -0.366, -0.265, -0.203, 1.15, 0.524, 0.131, 0.453, 0.693, 0.0185, 15, 3.6, 0.24, 1.4e+02, 15, 3.6, 0.26, 1.4e+02, 93
294, -0.366, -0.265, -0.203, 1.15, 0.524, 0.131, 0.453, 0.693, 0.0185, 15, 3.6, -0.12, 1.4e+02, 15, 3.6, 0.06, 1.4e+02, 93
326, -0.491, -0.338, -0.172, 1.13, 0.469, 0.151, 0.445, 0.71, 0.0924, 15, 3, 1.4, 1.2e+02, 15, 3.2, 0.63, 1.3e+02, 83
356, -0.534, -0.348, -0.189, 1.13, 0.508, 0.159, 0.443, 0.0992, 0.028, 15, -0.065, 0.31, 34, 15, 0.2, 0.76, 43, 26
347, -0.372, -0.452, -0.114, 1.19, 0.509, 0.101, 0.475, 0.26, 0.00881, 2.2, 0.68, 0.11, 26, 2.2, 0.67, 0.082, 26, 17
349, -0.375, -0.447, -0.145, 1.34, 0.501, 0.115, 0.477, 0.243, 0.00937, 2.5, 0.78, 0.085, 29, 2.5, 0.79, 0.14, 30, 20
344, -0.47, -0.209, -0.201, 1.41, 0.523, 0.146, 0.461, 0.662, -0.0516, 15, 3.8, -0.84, 1.5e+02, 15, 4.3, -0.39, 1.6e+02, 1e+02
289, -0.459, -0.213, -0.197, 1.15, 0.516, 0.133, 0.466, 0.679, -0.0678, 15, 3.4, -0.2, 1.3e+02, 15, 3.5, -0.87, 1.4e+02, 90
342, -0.557, -0.272, -0.0936, 1.45, 0.476, 0.129, 0.485, 0.363, -0.044, 15, 2.4, 2, 1.1e+02, 15, 2.7, 1.5, 1.2e+02, 75
382, -0.337, -0.331, -0.0927, 0.894, 0.467, 0.136, 0.475, -0.141, 0.0521, 15, 2.1, 1.1, 96, 15, 2.5, 0.21, 1.1e+02, 68
354, -0.507, -0.12, -0.187, 1.1, 0.501, 0.112, 0.48, -0.02, 0.113, 15, 1.6, 1.3, 85, 15, 2, 0.92, 94, 60
353, -0.53, -0.45, -0.179, 1.18, 0.521, 0.106, 0.474, 0.0187, -0.0445, 2.5, 0.73, 0.15, 28, 2.3, 0.68, 0.13, 26, 18
296, -0.374, -0.264, -0.212, 1.61, 0.517, 0.131, 0.456, 0.711, -0.0503, 15, 4, -0.56, 1.5e+02, 15, 4.1, 0.32, 1.5e+02, 1e+02
300, -0.349, -0.276, -0.22, 1.51, 0.524, 0.13, 0.476, 0.737, -0.0548, 15, 4.3, -0.032, 1.6e+02, 15, 4.2, -0.59, 1.6e+02, 1.1e+02
402, -0.307, -0.365, -0.079, 1.49, 0.505, 0.137, 0.467, 0.323, 0.18, 2.3, 0.67, -0.018, 26, 2.5, 0.72, -0.045, 27, 18
395, -0.327, -0.374, -0.178, 1.15, 0.432, 0.129, 0.448, 0.629, 0.0673, 15, 1.6, 1, 81, 15, 1.8, 0.25, 84, 55
