T, A, B, Oc, C, Oj, tj, Dp, Dn, t1, dx1, dy1, s1, t2, dx2, dy2, s2, t3, dx3, dy3, s3, savg
1.09e+03, -0.486, -0.0799, -0.386, 0.39, 0.282, 0.398, 0.214, 0.148, 0.7, -0.39, -0.0021, 5.6, 0.7, -0.39, -0.00074, 5.6, 0.7, -0.39, -0.00097, 5.6, 5.6
1.75e+03, -0.521, -0.301, -0.135, 0.504, 0.301, 0.0643, 0.144, 0.159, 20, 0.52, -0.11, 37, 30, 0.24, -0.022, 38, 30, 0.53, -0.38, 48, 41
1.43e+03, -0.642, -0.0593, -0.201, 0.0445, 0.0689, 0.476, 0.178, 0.303, 0.9, -0.38, -0.00099, 5.7, 0.95, -0.41, -0.00071, 6, 0.95, -0.41, -0.0016, 6, 5.9
882, -0.124, -0.193, -0.0105, 0.206, 0.104, 0.482, 0.23, 0.141, 5.9, -0.6, 0.1, 13, 5.6, -0.42, -0.33, 12, 4.7, -0.14, -0.38, 9.7, 12
285, -0.101, -0.325, -0.396, 0.517, 0.303, 0.0802, 0.381, 0.309, 0.7, -0.39, -0.0077, 5.6, 0.7, -0.39, -0.007, 5.6, 0.7, -0.39, -0.0083, 5.6, 5.6
1.71e+03, -0.551, -0.217, -0.235, 0.383, 0.465, 0.202, 0.152, 0.382, 6.8, -0.32, 0.093, 11, 5.8, -0.4, -0.056, 11, 6.3, -0.28, 0.26, 11, 11
746, -0.134, -0.384, -0.171, 0.741, 0.0243, 0.384, 0.329, 0.433, 1, -0.38, 0.025, 5.8, 1, -0.38, 0.022, 5.8, 1, -0.39, 0.02, 5.9, 5.8
1.31e+03, -0.262, -0.182, -0.182, 0.0282, 0.0315, 0.198, 0.366, 0.464, 0.95, -0.41, -0.0016, 6.1, 0.95, -0.4, -0.0019, 6, 0.95, -0.4, -0.0022, 6, 6
376, -0.311, -0.133, -0.269, 0.203, 0.114, 0.165, 0.129, 0.445, 0.75, -0.38, 0.0065, 5.6, 0.75, -0.38, 0.0041, 5.6, 0.75, -0.38, 0.0041, 5.6, 5.6
828, -0.383, -0.0731, -0.0983, 0.0923, 0.373, 0.0889, 0.16, 0.349, 5.2, 0.022, -0.15, 8.1, 6.7, 0.33, -0.1, 18, 5.2, -0.33, -0.042, 9.5, 12
1.96e+03, -0.736, -0.051, -0.0935, 0.601, 0.677, 0.0516, 0.171, 0.0404, 1.3, 0.41, -0.0056, 15, 1.3, 0.43, -0.0085, 15, 1.4, 0.44, -0.0079, 15, 15
773, -0.621, -0.28, -0.298, 0.53, 0.363, 0.259, 0.284, 0.0967, 2, -0.43, -0.045, 7.3, 2, -0.42, -0.0042, 7.3, 2, -0.43, 0.011, 7.4, 7.3
1.26e+03, -0.0308, -0.131, -0.269, 0.137, 0.25, 0.394, 0.241, 0.149, 30, 0.26, 0.042, 39, 13, -0.22, -0.019, 16, 30, -0.001, 0.02, 31, 29
426, -0.363, -0.0324, -0.0291, 0.373, 0.029, 0.112, 0.425, 0.385, 3.2, -0.062, 0.32, 7.5, 3.7, -0.092, 0.27, 7.5, 3.3, 0.056, 0.31, 8.7, 7.9
389, -0.115, -0.043, -0.207, 0.653, 0.379, 0.259, 0.467, 0.499, 30, 0.39, 0.059, 43, 30, 0.35, -0.19, 42, 30, 0.43, 0.11, 44, 43
1.81e+03, -0.281, -0.297, -0.362, 0.0544, 3.89e-05, 0.09, 0.392, 0.423, 0.6, -0.39, 0.00052, 5.5, 0.6, -0.39, 0.00018, 5.5, 0.6, -0.39, 0.00035, 5.5, 5.5
