T, A, B, Oc, C, Oj, tj, Dp, Dn, t1, dx1, dy1, s1, t2, dx2, dy2, s2, t3, dx3, dy3, s3, savg
965, -0.643, -0.179, -0.104, 0.525, 0.656, 0.0944, 0.158, 0.087, 4.1, 0.47, -0.18, 20, 3.7, -0.46, 0.077, 9.3, 4.1, 0.45, -0.32, 20, 16
1.79e+03, -0.413, -0.256, -0.154, 0.587, 0.534, 0.12, 0.253, 0.429, 8.1, 0.15, 0.43, 17, 8.4, 0.085, -0.46, 16, 7.7, -0.34, -0.051, 12, 15
482, -0.296, -0.0445, -0.162, 0.181, 0.252, 0.0182, 0.0363, 0, 30, 0.63, 0.2, 50, 5.1, 0.12, 0.29, 12, 30, 0.68, -0.18, 52, 38
587, -0.34, -0.0766, -0.174, 0.78, 0.587, 0.214, 0.272, 0.099, 30, 3.7, 0.89, 1.4e+02, 30, 3.7, 0.061, 1.4e+02, 30, 3.7, 0.35, 1.4e+02, 1.4e+02
851, -0.296, -0.285, -0.154, 0.525, 0.252, 0.0182, 0.253, 0.429, 5.7, -0.3, -0.39, 12, 13, 0.6, -0.041, 32, 12, 0.045, 0.16, 15, 20
1.79e+03, -0.643, -0.179, -0.0291, 0.237, 0.656, 0.0944, 0.272, 0.099, 1, 0.43, -0.0012, 15, 1, 0.4, -0.0046, 14, 1, 0.42, -0.0044, 15, 14
1.74e+03, -0.498, -0.179, -0.227, 0.748, 0.639, 0.134, 0.122, 0.429, 5.1, -0.072, -0.48, 11, 5.2, -0.2, -0.42, 11, 5.2, -0.13, -0.4, 11, 11
533, -0.153, -0.202, -0.339, 0.525, 0.662, 0.193, 0.176, 0.368, 25, 1.6, 2.9, 89, 25, 0.99, 2.8, 75, 24, 1.4, 2.9, 85, 83
1.46e+03, -0.385, -0.051, -0.327, 0.194, 0.677, 0.476, 0.163, 0.483, 30, -0.14, -0.078, 33, 30, -0.16, 0.17, 33, 30, -0.18, 0.042, 33, 33
1.96e+03, -0.736, -0.359, -0.0935, 0.601, 0.625, 0.0516, 0.171, 0.0404, 9.9, 0.58, 0.03, 28, 8.2, 0.49, -0.12, 24, 11, 0.13, -0.44, 19, 24
408, -0.34, -0.301, -0.162, 0.675, 0.563, 0.228, 0.176, 0.38, 30, 0.47, 0.59, 48, 30, 0.47, 0.32, 46, 30, 0.1, 0.17, 35, 43
1.74e+03, -0.153, -0.0445, -0.135, 0.504, 0.58, 0.0643, 0.253, 0.38, 8, 0.0049, 0.44, 14, 8.1, 0.02, 0.44, 14, 8.2, 0.036, 0.45, 14, 14
408, -0.3, -0.294, -0.162, 0.237, 0.464, 0.0944, 0.173, 0.132, 3, -0.32, 0.22, 8, 3.2, -0.66, -0.25, 11, 2.4, -0.32, 0.1, 6.7, 8.7
408, -0.378, -0.359, -0.266, 0.728, 0.58, 0.228, 0.253, 0.483, 2.6, 0.53, -0.48, 21, 1.9, -0.23, 0.12, 5.4, 4.2, 0.43, -0.59, 21, 16
1.46e+03, -0.385, -0.0938, -0.327, 0.194, 0.625, 0.476, 0.163, 0.108, 21, 0.005, -0.36, 26, 30, 0.14, 0.037, 35, 14, -0.25, -0.028, 18, 26
531, -0.0308, -0.131, -0.269, 0.137, 0.25, 0.134, 0.241, 0.149, 15, 0.36, 0.36, 28, 30, -0.16, 0.28, 34, 30, -0.4, 0.13, 35, 33
1.26e+03, -0.498, -0.202, -0.227, 0.748, 0.639, 0.394, 0.122, 0.368, 3.5, 0.058, -0.47, 10, 3.7, -0.14, -0.49, 9.7, 3.9, -0.36, -0.45, 11, 10
1.75e+03, -0.34, -0.301, -0.162, 0.675, 0.563, 0.228, 0.178, 0.38, 5.2, -0.19, -0.41, 11, 5.2, -0.17, -0.44, 11, 5.2, -0.17, -0.44, 11, 11
408, -0.521, -0.301, -0.162, 0.675, 0.58, 0.228, 0.176, 0.38, 30, 0.7, 0.12, 52, 4.4, 0.64, -0.16, 25, 12, 0.32, 0.95, 30, 35
1.12e+03, -0.383, -0.294, -0.362, 0.0512, 0.664, 0.272, 0.173, 0.132, 6.6, 0.45, -0.16, 21, 5.5, 0.22, 0.3, 15, 5.7, 0.46, 0.041, 21, 19
1.98e+03, -0.3, -0.301, -0.362, 0.0923, 0.509, 0.0643, 0.173, 0.132, 17, 0.1, -0.13, 22, 30, 0.36, 0.11, 42, 30, 0.44, 0.54, 47, 37
1.75e+03, -0.378, -0.0938, -0.135, 0.504, 0.587, 0.0643, 0.144, 0.159, 30, 0.65, 0.8, 54, 30, 0.58, 0.68, 51, 30, 0.4, 0.6, 46, 51
482, -0.521, -0.301, -0.266, 0.676, 0.301, 0.214, 0.33, 0.108, 30, 8.7, 1.9, 2.9e+02, 4.7, 0.27, -0.16, 14, 2.8, -0.3, 0.14, 7.1, 1.1e+02
965, -0.25, -0.179, -0.339, 0.00822, 0.464, 0.0272, 0.253, 0.429, 6, -0.2, 0.26, 10, 7.1, -0.26, -0.086, 11, 3.2, -0.32, -0.067, 7.5, 9.5
408, -0.413, -0.256, -0.0325, 0.525, 0.581, 0.0944, 0.158, 0.491, 2.5, 0.15, -0.3, 9.8, 2.9, 0.5, -0.15, 19, 2.8, 0.57, -0.0016, 21, 17
806, -0.413, -0.253, -0.162, 0.587, 0.534, 0.233, 0.0363, 0, 3, 0.13, -0.37, 10, 3, 0.16, -0.36, 11, 2.9, 0.17, -0.34, 11, 11
482, -0.34, -0.0445, -0.104, 0, 0.587, 0.12, 0.385, 0.087, 3, -0.0086, -0.63, 10, 3.2, 0.42, 0.46, 19, 3.8, -0.2, -0.42, 9.5, 13
965, -0.643, -0.285, -0.104, 0.675, 0.656, 0.0944, 0.253, 0.099, 3.8, -0.32, 0.36, 9.6, 3.6, -0.093, 0.61, 11, 4.9, 0.37, -0.53, 20, 13
851, -0.378, -0.179, -0.266, 0.525, 0.587, 0, 0.158, 0.087, 4.2, 0.18, -0.44, 14, 4.9, 0.053, -0.48, 12, 4.3, 0.23, -0.42, 15, 13
408, -0.34, -0.0445, -0.135, 0.504, 0.563, 0.0643, 0.253, 0.429, 30, -0.35, -0.36, 36, 30, 0.76, -0.24, 54, 30, 0.23, 0.06, 38, 43
408, -0.25, -0.179, -0.339, 0.525, 0.464, 0.0944, 0.253, 0.303, 30, -0.035, 0.022, 31, 30, 0.041, 0.066, 33, 30, 0.065, -0.1, 34, 33
851, -0.378, -0.256, -0.266, 0.587, 0.587, 0, 0.158, 0.087, 4.2, 0.25, -0.45, 15, 6.2, 0.31, 0.39, 18, 6.7, 0.15, -0.48, 16, 16
965, -0.413, -0.285, -0.104, 0.675, 0.534, 0.12, 0.253, 0.099, 3.8, -0.096, 0.44, 9.3, 3.8, 0.065, 0.39, 10, 3.8, 0.11, 0.38, 11, 10
1.79e+03, -0.643, -0.301, -0.135, 0.504, 0.563, 0.331, 0.178, 0.341, 5.6, 0.2, 0.43, 15, 6.1, -0.23, 0.27, 11, 5.2, -0.04, -0.53, 11, 12
1.75e+03, -0.521, -0.0757, -0.154, 0.212, 0.656, 0.0643, 0.213, 0.303, 30, 0.29, -0.2, 40, 30, 0.28, 0.12, 39, 30, 0.14, -0.0057, 35, 38
1.74e+03, -0.521, -0.301, -0.135, 0.504, 0.301, 0.0643, 0.144, 0.38, 16, 0.29, 0.38, 27, 7.1, -0.29, -0.3, 12, 16, 0.16, 0.47, 25, 22
1.75e+03, -0.153, -0.301, -0.135, 0.504, 0.563, 0.0643, 0.176, 0.159, 27, 0.79, 0.37, 53, 11, 0.56, 0.042, 29, 16, 0.73, -0.0053, 38, 40
1.96e+03, -0.521, -0.0757, -0.0935, 0.601, 0.656, 0.0643, 0.171, 0.303, 13, -0.17, 0.023, 16, 13, 0.77, 0.19, 38, 24, -0.32, 0.13, 28, 27
1.75e+03, -0.736, -0.359, -0.154, 0.212, 0.625, 0.0516, 0.213, 0.0404, 9.1, 0.48, 0.12, 25, 8.4, 0.35, 0.3, 21, 17, -0.037, -0.62, 24, 23
851, -0.109, -0.1, -0.135, 0.237, 0.563, 0.0643, 0.253, 0.429, 30, -0.14, -0.34, 35, 30, 0.16, -0.39, 38, 30, 0.033, -0.45, 36, 36
408, -0.34, -0.0445, -0.0291, 0.504, 0.223, 0.125, 0.0363, 0.368, 30, 3.4, -0.52, 1.3e+02, 30, 2.1, 2.1, 1e+02, 30, 2.7, 1.8, 1.2e+02, 1.2e+02
531, -0.0308, -0.131, -0.269, 0.137, 0.25, 0.134, 0.241, 0.149, 26, 0.51, 0.23, 43, 19, 0.072, -0.068, 22, 21, -0.47, 0.28, 27, 31
1.26e+03, -0.0308, -0.131, -0.269, 0.137, 0.25, 0.394, 0.241, 0.149, 30, -0.0096, -0.0049, 31, 30, 0.02, -0.012, 32, 30, 0.052, -0.013, 33, 32
1.96e+03, -0.736, -0.0445, -0.0935, 0.237, 0.464, 0.0944, 0.171, 0.38, 11, -0.22, -0.38, 17, 9.2, -0.11, -0.37, 14, 9.2, -0.21, -0.31, 14, 15
408, -0.25, -0.359, -0.162, 0.601, 0.625, 0.0516, 0.272, 0.0404, 13, 0.11, 0.24, 19, 13, -0.32, -0.11, 18, 4.1, 0.67, -0.27, 26, 21
408, -0.25, -0.179, -0.339, 0.504, 0.563, 0.0944, 0.178, 0.303, 26, -0.3, -0.21, 31, 21, -0.14, 0.069, 23, 5.8, 0.77, -0.21, 30, 28
1.75e+03, -0.521, -0.301, -0.135, 0.525, 0.464, 0.0643, 0.253, 0.303, 30, 0.18, 0.52, 40, 8.9, 0.52, 0.038, 25, 30, 0.35, 0.48, 44, 36
408, -0.25, -0.0938, -0.339, 0.525, 0.625, 0.0944, 0.253, 0.108, 30, 0.41, 0.11, 43, 30, 0.35, 0.29, 42, 30, -0.0071, 0.23, 33, 40
1.46e+03, -0.385, -0.179, -0.327, 0.194, 0.464, 0.476, 0.163, 0.429, 8.1, -0.4, -0.094, 13, 5.8, -0.35, 0.032, 10, 8.5, 0.46, 0.2, 24, 16
1.98e+03, -0.3, -0.0445, -0.135, 0.504, 0.509, 0.0643, 0.173, 0.429, 30, 0.062, -0.019, 33, 30, 0.045, -0.0074, 32, 30, 0.049, -0.002, 32, 33
408, -0.34, -0.301, -0.362, 0.0923, 0.563, 0.0643, 0.253, 0.132, 1.5, -0.38, -0.049, 6.3, 1.6, -0.38, 0.0097, 6.4, 1.5, -0.36, -0.015, 6, 6.2
1.75e+03, -0.521, -0.0938, -0.266, 0.675, 0.58, 0.228, 0.253, 0.38, 5.2, -0.29, -0.37, 11, 5.3, -0.16, -0.42, 11, 4.9, -0.33, -0.16, 9.6, 10
408, -0.378, -0.301, -0.162, 0.728, 0.58, 0.228, 0.178, 0.108, 30, 0.77, 0.66, 57, 30, 0.67, -0.15, 51, 30, 0.53, -0.082, 47, 52
1.98e+03, 0, -0.301, -0.362, 0.0923, 0.509, 0.0944, 0.253, 0.132, 30, 0.026, 0.035, 32, 30, 0.035, -0.00051, 32, 30, 0.0059, 0.014, 31, 32
1.79e+03, -0.643, -0.179, -0.154, 0.525, 0.656, 0.0643, 0.173, 0.429, 14, 0.53, 0.32, 32, 11, 0.38, 0.38, 25, 12, 0.25, 0.46, 23, 27
1.79e+03, -0.643, -0.301, -0.154, 0.675, 0.58, 0.0944, 0.253, 0.429, 9.4, 0.2, 0.62, 21, 12, -0.099, 0.55, 18, 7.9, -0.25, 0.28, 13, 17
1.75e+03, -0.521, -0.179, -0.162, 0.525, 0.656, 0.228, 0.178, 0.38, 5.8, -0.42, -0.1, 11, 5.6, -0.29, -0.32, 11, 5.6, -0.28, -0.31, 11, 11
1.46e+03, -0.385, -0.0938, -0.327, 0.194, 0.625, 0.476, 0.163, 0.108, 30, -0.05, -0.14, 32, 30, -0.18, 0.19, 34, 14, -0.17, -0.38, 20, 29
1.46e+03, -0.385, -0.0938, -0.327, 0.194, 0.625, 0.476, 0.163, 0.108, 30, -0.13, 0.0059, 32, 30, -0.027, 0.12, 32, 30, 0.034, 0.24, 34, 33
1.75e+03, -0.378, -0.0938, -0.104, 0.504, 0.587, 0.0643, 0.144, 0.159, 30, 0.16, 0.63, 41, 30, 0.2, 0.61, 41, 30, 0.37, 0.62, 46, 43
482, -0.25, -0.179, -0.266, 0.525, 0.301, 0.0944, 0.33, 0.108, 30, 2.4, -0.14, 1e+02, 30, 2.2, 0.79, 98, 30, 2.3, 0.77, 1e+02, 1e+02
408, -0.521, -0.301, -0.339, 0.676, 0.464, 0.214, 0.253, 0.429, 3.5, 0.63, -0.4, 25, 2.7, -0.23, -0.0047, 5.9, 3.5, 0.58, -0.35, 23, 18
806, -0.25, -0.0324, -0.225, 0.00822, 0.581, 0.193, 0.176, 0.429, 30, 0.35, 0.64, 45, 30, 0.38, 0.6, 46, 30, -0.066, 0.81, 39, 43
806, -0.25, -0.0324, -0.225, 0.00822, 0.581, 0.193, 0.176, 0.429, 30, 0.37, 0.8, 47, 30, 0.52, 0.42, 48, 30, 0.23, 0.78, 44, 46
1.75e+03, -0.3, -0.301, -0.362, 0.525, 0.509, 0.0643, 0.253, 0.132, 9, -0.19, -0.35, 14, 24, 0.77, -0.49, 49, 12, 0.15, -0.35, 20, 28
1.98e+03, -0.521, -0.301, -0.135, 0.0923, 0.464, 0.0643, 0.173, 0.303, 30, -0.34, -0.67, 38, 30, 0.56, 0.19, 48, 30, 0.54, 0.03, 47, 45
408, -0.0308, -0.0445, -0.269, 0.504, 0.563, 0.0643, 0.253, 0.303, 30, -0.92, 1.1, 45, 30, -1, 1.1, 46, 30, -0.93, 1.1, 46, 46
1.26e+03, -0.34, -0.131, -0.135, 0.137, 0.25, 0.394, 0.241, 0.149, 22, 0.011, 0.035, 24, 19, -0.29, 0.24, 24, 23, -0.18, -0.00099, 26, 24
1.75e+03, -0.378, -0.0938, -0.174, 0.504, 0.0655, 0.0643, 0.144, 0.159, 7.3, -0.37, -0.027, 12, 13, -0.092, 0.21, 17, 18, -0.12, 0.08, 21, 16
587, -0.34, -0.0766, -0.104, 0.78, 0.587, 0.214, 0.272, 0.099, 2.8, 0.32, 0.46, 16, 3.4, 0.52, 0.33, 21, 2.8, 0.44, 0.32, 18, 18
533, -0.25, -0.179, -0.315, 0.525, 0.464, 0.0944, 0.253, 0.429, 5.2, 0.072, 0.56, 13, 30, 2.5, 1.1, 1.1e+02, 5.1, -0.2, -0.067, 8.2, 44
408, -0.25, -0.179, -0.339, 0.525, 0.464, 0.0944, 0.253, 0.429, 30, 0.27, -0.14, 40, 30, -0.028, -0.085, 32, 2.8, -0.036, -0.24, 6.3, 26
587, -0.34, -0.0445, -0.162, 0.78, 0.58, 0.214, 0.272, 0.099, 30, 3.2, 0.81, 1.3e+02, 30, 3.2, 0.53, 1.3e+02, 30, 3.3, 0.076, 1.3e+02, 1.3e+02
408, -0.34, -0.0766, -0.174, 0.675, 0.587, 0.228, 0.253, 0.38, 30, -0.35, 1.5, 47, 30, 0.26, 2.3, 59, 30, -0.048, -0.14, 32, 46
408, -0.34, -0.301, -0.362, 0.504, 0.509, 0.0643, 0.253, 0.132, 3, 0.084, -0.37, 9.4, 3.3, -0.072, -0.33, 7.6, 3.3, -0.29, -0.15, 7.5, 8.2
1.98e+03, 0, -0.0445, -0.135, 0.0923, 0.563, 0.0944, 0.253, 0.303, 30, 0.032, 0.00087, 32, 30, 0.032, 0.00037, 32, 30, 0.032, 0.0007, 32, 32
408, -0.25, -0.301, -0.339, 0.525, 0.301, 0.0643, 0.144, 0.429, 0.85, -0.39, 0.0029, 5.7, 0.85, -0.39, 0.0035, 5.7, 0.85, -0.38, 0.0011, 5.6, 5.7
1.75e+03, -0.521, -0.179, -0.135, 0.504, 0.464, 0.0944, 0.253, 0.159, 8.7, -0.085, -0.44, 14, 11, -0.21, -0.46, 17, 10, -0.15, -0.093, 13, 15
1.75e+03, -0.378, -0.0324, -0.104, 0.00822, 0.581, 0.0643, 0.246, 0.429, 30, 0.28, 0.21, 40, 30, 0.21, 0.00094, 37, 30, 0.1, 0.15, 35, 37
806, -0.25, -0.0938, -0.225, 0.504, 0.587, 0.0944, 0.144, 0.159, 4, 0.06, 0.48, 11, 7.8, 0.68, 0.25, 30, 5.2, 0.13, 0.41, 13, 18
1.74e+03, -0.521, -0.301, -0.135, 0.504, 0.563, 0.0643, 0.178, 0.303, 19, -0.37, 0.34, 25, 30, 0.29, 0.16, 40, 22, 0.51, 0.87, 43, 36
1.75e+03, -0.153, -0.301, -0.135, 0.504, 0.563, 0.0643, 0.176, 0.38, 18, 0.61, 0.34, 38, 13, 0.57, 0.11, 31, 30, 0.69, 0.23, 52, 40
531, -0.0308, -0.0938, -0.135, 0.137, 0.587, 0.0643, 0.241, 0.159, 30, -0.35, 0.1, 35, 30, -0.35, 0.094, 35, 30, -0.29, 0.11, 34, 34
1.75e+03, -0.378, -0.131, -0.269, 0.504, 0.25, 0.134, 0.144, 0.149, 7.3, -0.4, -0.022, 12, 6.9, -0.26, 0.16, 11, 6.3, -0.35, -0.056, 11, 11
408, -0.25, -0.179, -0.174, 0.78, 0.464, 0.214, 0.253, 0.099, 30, -0.056, 1.8, 49, 30, 0.0079, 1.6, 47, 30, 0.05, 1.7, 49, 48
587, -0.34, -0.0766, -0.339, 0.525, 0.587, 0.0944, 0.272, 0.429, 30, 1.6, 1.3, 84, 4, 0.01, -0.31, 8.3, 30, 1.9, 0.62, 89, 60
806, -0.34, -0.0445, -0.225, 0.00822, 0.581, 0.125, 0.0363, 0.429, 12, -0.33, -0.16, 17, 5.2, -0.4, 0.11, 10, 15, 0.37, -0.16, 27, 18
408, -0.25, -0.0324, -0.0291, 0.504, 0.223, 0.0944, 0.246, 0.368, 30, 1.3, 1.1, 74, 30, 0.49, 1.4, 55, 30, 0.42, 1.3, 53, 61
1.75e+03, -0.25, -0.0324, -0.162, 0.237, 0.464, 0.0944, 0.246, 0.429, 30, 0.21, -0.028, 37, 30, 0.27, -0.024, 39, 30, 0.21, -0.011, 37, 38
408, -0.378, -0.0445, -0.104, 0.00822, 0.581, 0.0643, 0.272, 0.38, 2.9, 0.28, 0.14, 13, 4, 0.44, 0.12, 18, 2.5, 0.36, -0.056, 14, 15
408, -0.25, -0.0445, -0.225, 0.675, 0.581, 0.193, 0.253, 0.429, 30, 1.7, -1.6, 87, 30, 1.2, -1.5, 74, 30, -0.026, 1.3, 44, 68
806, -0.25, -0.0324, -0.162, 0.00822, 0.464, 0.0944, 0.176, 0.38, 4.6, -0.31, -0.013, 8.6, 7.3, -0.02, 0.4, 12, 30, 0.6, 0.74, 52, 24
408, -0.34, -0.0445, -0.162, 0.675, 0.58, 0.0944, 0.272, 0.38, 30, 2.3, 1.5, 1.1e+02, 30, 2, 2, 99, 30, 2.2, 1.9, 1e+02, 1e+02
408, -0.25, -0.0445, -0.162, 0.237, 0.464, 0.228, 0.253, 0.38, 30, 0.97, -2.3, 75, 30, 0.44, -2.3, 63, 30, -0.29, -1.8, 49, 62
408, -0.34, -0.0445, -0.162, 0.504, 0.563, 0.0944, 0.253, 0.38, 30, 3.6, 0.32, 1.4e+02, 30, 0.4, -0.9, 49, 30, 0.26, -0.61, 43, 77
408, -0.25, -0.0445, -0.135, 0.675, 0.464, 0.0643, 0.253, 0.429, 30, 1.2, 0.57, 69, 30, 1.8, -0.63, 85, 30, 1.9, -0.0041, 87, 80
389, -0.25, -0.0324, -0.225, 0.653, 0.581, 0.0944, 0.246, 0.499, 30, -1.1, 1.2, 48, 30, -1.7, 0.87, 50, 30, -1.8, 0.47, 50, 49
806, -0.115, -0.043, -0.207, 0.00822, 0.379, 0.259, 0.467, 0.429, 30, 0.19, 0.16, 37, 30, 0.089, 0.12, 34, 30, 0.14, 0.11, 36, 36
482, -0.521, -0.301, -0.135, 0.676, 0.301, 0.214, 0.33, 0.108, 2.2, 0.43, -0.3, 17, 2.5, 0.2, -0.47, 12, 2.3, 0.42, -0.33, 17, 16
851, -0.109, -0.1, -0.266, 0.237, 0.563, 0.0643, 0.253, 0.429, 30, 0.65, -0.3, 51, 30, 0.55, -0.023, 48, 30, 0.49, 0.17, 46, 48
587, -0.34, -0.0766, -0.154, 0.78, 0.656, 0.214, 0.213, 0.099, 2.8, 0.25, 0.49, 14, 30, 3.8, 0.031, 1.4e+02, 30, 3.7, 0.027, 1.4e+02, 1e+02
1.75e+03, -0.521, -0.0757, -0.174, 0.212, 0.587, 0.0643, 0.272, 0.303, 30, 0.46, -0.14, 45, 30, 0.043, 0.069, 33, 30, 0.2, -0.014, 37, 38
482, -0.378, -0.179, -0.315, 0.676, 0.587, 0.0944, 0.253, 0.108, 30, 2.4, 2.5, 1.1e+02, 30, 4, -0.069, 1.5e+02, 30, 4, -0.6, 1.5e+02, 1.4e+02
533, -0.25, -0.0938, -0.266, 0.525, 0.464, 0.214, 0.33, 0.429, 30, 0.26, 0.22, 40, 30, -0.54, 0.31, 37, 30, -0.63, 0.8, 41, 39
482, -0.498, -0.301, -0.227, 0.676, 0.639, 0.214, 0.122, 0.368, 2.7, 0.67, 0.034, 24, 2.7, 0.64, -0.00065, 23, 2.8, 0.61, 0.12, 22, 23
533, -0.521, -0.202, -0.266, 0.748, 0.301, 0.134, 0.33, 0.108, 1.9, -0.34, 0.2, 6.8, 1.9, -0.35, 0.24, 7.1, 1.9, -0.35, 0.25, 7.2, 7
482, -0.378, -0.0766, -0.174, 0.78, 0.587, 0.214, 0.272, 0.099, 30, 3.9, 1.4, 1.5e+02, 24, 1.3, -2.8, 83, 30, 3.9, -1.7, 1.5e+02, 1.3e+02
482, -0.153, -0.301, -0.266, 0.504, 0.301, 0.214, 0.33, 0.38, 30, 5, -0.19, 1.8e+02, 3.2, 0.31, 0.4, 15, 3.9, 0.58, -0.44, 24, 74
1.75e+03, -0.521, -0.301, -0.135, 0.676, 0.563, 0.0643, 0.176, 0.108, 8.4, 0.49, -0.3, 25, 9.6, 0.51, 0.3, 27, 10, 0.83, 0.091, 36, 29
482, -0.153, -0.202, -0.266, 0.676, 0.662, 0.193, 0.33, 0.108, 30, 2.7, -1.1, 1.2e+02, 30, 3, -0.43, 1.2e+02, 30, 1.5, 2.1, 86, 1.1e+02
533, -0.378, -0.0938, -0.339, 0.525, 0.587, 0.214, 0.176, 0.368, 17, 1.6, 2.9, 82, 16, 1.2, 2.9, 71, 15, 0.53, 2.8, 55, 69
533, -0.153, -0.0938, -0.339, 0.525, 0.58, 0.193, 0.5, 0.108, 3, -0.066, 0.53, 9.4, 3.2, -0.43, 0.3, 9.3, 3.8, 0.092, -0.43, 11, 9.9
408, -0.378, -0.202, -0.266, 0.728, 0.662, 0.228, 0.176, 0.368, 26, 2.3, 2.9, 1.1e+02, 30, 0.8, 2.3, 72, 30, 1, 2.8, 81, 88
1.98e+03, -0.378, -0.301, -0.162, 0.0923, 0.58, 0.228, 0.178, 0.108, 18, 0.7, -0.14, 40, 16, 0.69, -0.19, 38, 9.5, 0.55, 0.012, 27, 35
408, -0.521, -0.301, -0.135, 0.728, 0.464, 0.0643, 0.173, 0.303, 2.9, 0.63, -0.17, 23, 2.8, 0.6, -0.17, 22, 2.8, 0.62, -0.16, 23, 23
482, -0.378, -0.179, -0.315, 0.676, 0.587, 0.0643, 0.144, 0.108, 30, -0.76, 0.054, 39, 30, -0.9, -0.13, 40, 30, -0.85, -0.23, 40, 39
1.75e+03, -0.378, -0.0938, -0.135, 0.504, 0.587, 0.0944, 0.253, 0.159, 16, 0.61, 0.032, 35, 26, 1.2, 0.33, 63, 14, 0.72, 0.22, 37, 45
408, -0.521, -0.301, -0.174, 0.675, 0.464, 0.228, 0.253, 0.303, 2.8, 0.5, 0.19, 19, 2.7, 0.53, 0.16, 20, 2.7, 0.53, 0.19, 20, 20
1.98e+03, -0.34, -0.0766, -0.135, 0.0923, 0.587, 0.0643, 0.173, 0.38, 30, -0.12, 0.09, 32, 30, -0.11, -0.013, 32, 30, 0.027, -0.059, 32, 32
408, -0.25, -0.202, -0.339, 0.78, 0.662, 0.214, 0.176, 0.099, 23, 0.89, 2.9, 71, 30, -1, 2, 53, 30, 4.2, 1.8, 1.6e+02, 95
533, -0.153, -0.179, -0.4, 0.525, 0.464, 0.193, 0.253, 0.368, 1.6, -0.36, 0.07, 6.3, 30, 1.7, 1.8, 90, 2.4, -0.25, 0.23, 6.8, 34
482, -0.378, -0.202, -0.174, 0.78, 0.639, 0.214, 0.272, 0.368, 28, 0.92, 2.9, 77, 30, 3.2, 2, 1.3e+02, 30, 0.45, 2, 61, 90
533, -0.498, -0.0766, -0.227, 0.748, 0.587, 0.134, 0.122, 0.099, 2.8, -0.05, -0.52, 9, 2.8, -0.025, -0.51, 8.9, 2.8, -0.051, -0.51, 8.9, 9
806, -0.498, -0.0324, -0.227, 0.00822, 0.639, 0.193, 0.176, 0.368, 4, -0.42, -0.0059, 9.2, 4.2, -0.3, 0.44, 10, 4.2, -0.24, 0.53, 11, 10
533, -0.25, -0.202, -0.225, 0.748, 0.581, 0.134, 0.122, 0.429, 30, 2.8, 2.3, 1.2e+02, 30, -0.41, 0.45, 37, 28, 1.1, -2.8, 82, 81
587, -0.34, -0.0766, -0.174, 0.504, 0.563, 0.0643, 0.272, 0.429, 30, 0.63, -1.3, 58, 30, 1.5, -0.84, 78, 6.9, 0.31, 0.37, 19, 52
408, -0.34, -0.0445, -0.135, 0.78, 0.587, 0.214, 0.253, 0.099, 30, 0.76, 1.8, 66, 30, 2.1, 1.5, 99, 30, 2.7, 0.66, 1.1e+02, 93
408, -0.34, -0.0445, -0.0291, 0.504, 0.464, 0.228, 0.0363, 0.38, 30, 2.3, 0.83, 1e+02, 30, 2.3, 0.71, 1e+02, 30, 2.4, 0.37, 1e+02, 1e+02
408, -0.25, -0.0445, -0.162, 0.237, 0.223, 0.125, 0.253, 0.368, 5.7, 0.28, -0.13, 15, 5.4, -0.00087, -0.028, 6.7, 30, 2.3, 1.6, 1.1e+02, 43
482, -0.25, -0.179, -0.227, 0.748, 0.301, 0.134, 0.33, 0.108, 30, 1.7, -0.77, 84, 30, 1.9, 0.17, 90, 30, 2, -0.055, 90, 88
806, -0.25, -0.0324, -0.225, 0.675, 0.581, 0.193, 0.176, 0.429, 3, -0.053, -0.43, 8.3, 2.9, -0.035, -0.48, 8.7, 3, -0.071, -0.43, 8.3, 8.4
408, -0.25, -0.0445, -0.225, 0.00822, 0.581, 0.193, 0.253, 0.429, 3.2, -0.28, 0.24, 7.9, 3.3, 0.28, -0.38, 15, 4.3, -0.21, -0.44, 10, 11
482, -0.521, -0.0445, -0.266, 0.504, 0.464, 0.228, 0.33, 0.38, 3.8, 0.25, 0.63, 17, 2.9, -0.45, 0.23, 9, 2.2, 0.0013, -0.19, 5.1, 10
408, -0.34, -0.301, -0.0291, 0.676, 0.301, 0.214, 0.0363, 0.108, 30, 0.3, -0.17, 41, 30, 0.24, 0.26, 39, 30, 0.41, 0.08, 43, 41
587, -0.378, -0.0938, -0.266, 0.728, 0.656, 0.228, 0.213, 0.099, 3.1, -0.034, -0.48, 9, 2.9, 0.077, -0.51, 11, 27, 1.3, 2.9, 86, 35
408, -0.34, -0.0766, -0.154, 0.78, 0.58, 0.214, 0.253, 0.108, 30, 1.8, 1.9, 94, 30, 1.5, 2, 87, 30, 1.6, 1.9, 89, 90
587, -0.498, -0.202, -0.174, 0.748, 0.639, 0.214, 0.272, 0.368, 18, 2.2, -2.8, 98, 4.9, 0.86, -0.17, 32, 30, 5.1, -2.8, 1.9e+02, 1.1e+02
533, -0.34, -0.0766, -0.227, 0.78, 0.587, 0.134, 0.122, 0.099, 30, 0.19, 0.12, 37, 30, -0.52, -0.33, 37, 30, -0.18, -0.052, 33, 36
