753, -0.457, -0.363, -0.24, 0.0604, 0.131, 0.461, 0.399, 0.0599, 0.85, 0, 1.9, 2.7, 0.71, 25, 0, 0.31, 10, 12
1.54e+03, -0.000556, -0.0335, -0.244, 0.251, 0.504, 0.0997, 0.405, 0.141, 20, 0.031, 22, 0, 0, 1, 0, 0, 1, 8
590, -0.0218, -0.127, -0.0538, 0.601, 0.12, 0.0443, 0.153, 0.0489, 0, 0, 1, 20, 0, 21, 0, 0, 1, 7.7
1.28e+03, -0.61, -0.209, -0.00254, 0.751, 0.478, 0.355, 0.478, 0.168, 1.2, 0, 2.1, 0, 0, 1, 0, 0, 1, 1.4
