630, -0.494, -0.118, -0.164, 0.311, 0.372, 0.0449, 0.061, 0.369, 3.1, 0.44, 17, 4.9, 0.3, 15, 2.1, 0, 3, 12
1.86e+03, -0.69, -0.304, -0.328, 0.292, 0.119, 0.365, 0.243, 0.678, 0.8, 0, 1.8, 1.1, 0, 2.1, 4.2, 0, 5.2, 3.1
1.74e+03, -0.401, -0.331, -0.382, 0.541, 0.546, 0.449, 0.473, 0.658, 0, 0.31, 10, 0, 0, 1, 0, 0, 1, 4.1
616, -0.198, -0.00365, -0.103, 0.315, 0.429, 0.354, 0.674, 0.739, 0, 0, 1, 0, 0, 1, 0, 0, 1, 1
710, -0.355, -0.0149, -0.282, 0.595, 0.334, 0.283, 0.23, 0.163, 0, 0, 1, 1.7, 0, 2.7, 20, 0, 21, 8.2
932, -0.646, -0.2, -0.178, 0.604, 0.568, 0.12, 0.314, 0.603, 3.4, 0.18, 9.8, 0, 0, 1, 0, 0, 1, 3.9
713, -0.518, -0.286, -0.0915, 0.729, 0.454, 0.256, 0.673, 0.326, 0, 0, 1, 0, 0, 1, 0, 0, 1, 1
1.43e+03, -0.602, -0.332, -0.228, 0.0689, 0.474, 0.123, 0.392, 0.283, 0, 0, 1, 0, 0, 1, 0, 0, 1, 1
1.53e+03, -0.35, -0.354, -0.0514, 0.348, 0.0522, 0.24, 0.731, 0.461, 0, 0, 1, 5.5, 0, 6.5, 3.6, 0, 4.6, 4
696, -0.209, -0.332, -0.053, 0.686, 0.633, 0.136, 0.218, 0.283, 0.9, 0.33, 12, 0, 0, 1, 0, 0, 1, 4.6
1.82e+03, -0.241, -0.233, -0.0823, 0.458, 0.601, 0.287, 0.766, 0.695, 0, 0, 1, 0, 0, 1, 0, 0, 1, 1
325, -0.0799, -0.393, -0.119, 0.0549, 0.408, 0.0903, 0.444, 0.364, 0, 0, 1, 0, 0, 1, 0, 0, 1, 1
462, -0.518, -0.268, -0.0915, 0.6, 0.454, 0.256, 0.528, 0.326, 0, 0, 1, 0, 0, 1, 0, 0, 1, 1
713, -0.252, -0.286, -0.386, 0.729, 0.522, 0.451, 0.673, 0.107, 0, 0, 1, 0, 0, 1, 0, 0, 1, 1
462, -0.252, -0.161, -0.386, 0.6, 0.337, 0.451, 0.0628, 0.107, 0, 0, 1, 1.2, 0, 2.1, 4.7, 0, 5.7, 2.9
803, -0.435, -0.268, -0.34, 0.042, 0.522, 0.0352, 0.528, 0.285, 1.9, 0, 2.9, 3.5, 0.21, 11, 4.2, 0, 5.2, 6.3
848, -0.441, -0.361, -0.339, 0.129, 0.316, 0.256, 0.442, 0.326, 2.7, 0.42, 16, 2.1, 0.12, 6.5, 2.6, 0, 3.6, 8.8
713, -0.518, -0.286, -0.0915, 0.729, 0.454, 0.493, 0.673, 0.0468, 0.95, 0.18, 7.4, 0, 0, 1, 0, 0, 1, 3.1
616, -0.198, -0.21, -0.103, 0.659, 0.429, 0.354, 0.674, 0.739, 0, 0, 1, 0, 0, 1, 0, 0, 1, 1
1.78e+03, -0.425, -0.00365, -0.37, 0.315, 0.0245, 0.451, 0.273, 0.295, 0, 0, 1, 0, 0, 1, 0, 0, 1, 1
372, -0.592, -0.29, -0.246, 0.0621, 0.632, 0.247, 0.765, 0.653, 0, 0, 1, 0, 0, 1, 0, 0, 1, 1
1.43e+03, -0.672, -0.0357, -0.109, 0.539, 0.33, 0.0423, 0.02, 0.664, 0, 0, 1, 4.3, 0, 5.3, 4.9, 0, 5.8, 4
325, -0.00675, -0.233, -0.119, 0.458, 0.408, 0.287, 0.766, 0.567, 1.5, 0.36, 13, 0, 0, 1, 0, 0, 1, 5
1.52e+03, -0.0799, -0.102, -0.102, 0.138, 0.0328, 0.0792, 0.542, 0.364, 0, 0, 1, 20, 0, 21, 20, 0, 21, 14
214, -0.101, -0.368, -0.345, 0.416, 0.119, 0.129, 0.0732, 0.758, 0.9, 0, 1.9, 0.75, 0, 1.8, 8.2, 0.045, 11, 4.8
1.26e+03, -0.281, -0.393, -0.00576, 0.0937, 0.0621, 0.351, 0.175, 0.219, 3.7, 0, 4.7, 3, 0, 4, 6.6, 0.4, 19, 9.4
713, -0.518, -0.286, -0.338, 0.729, 0.454, 0.107, 0.673, 0.265, 0.95, 0, 1.9, 3.3, 0, 4.3, 3.3, 0, 4.3, 3.5
1.86e+03, -0.433, -0.387, -0.0915, 0.597, 0.549, 0.256, 0.233, 0.326, 0.25, 0.3, 10, 0, 0, 1, 0, 0, 1, 4.1
341, -0.433, -0.387, -0.338, 0.671, 0.549, 0.107, 0.637, 0.405, 0, 0, 1, 0, 0, 1, 0, 0, 1, 1
1.52e+03, -0.0799, -0.352, -0.0586, 0.306, 0.0328, 0.0792, 0.542, 0.364, 0, 0, 1, 20, 0.033, 22, 6.8, 0, 7.8, 10
