-0.000474, 0.000204, 0.35
-0.000103, 9.79e-05, 0.351
0.00171, 5.7e-05, 0.353
0.00528, 4.41e-05, 0.353
0.0103, 4.32e-05, 0.353
0.0163, 6.75e-05, 0.351
0.0236, 0.000263, 0.347
0.0323, 0.00102, 0.343
0.0413, 0.00202, 0.34
0.0493, 0.00203, 0.34
0.0563, 0.000655, 0.339
0.0624, -0.00193, 0.34
0.0683, -0.00522, 0.338
0.0724, -0.00673, 0.338
0.0747, -0.00589, 0.339
0.0758, -0.00318, 0.339
0.0758, 0.00116, 0.339
0.0748, 0.00692, 0.338
0.0735, 0.0134, 0.335
0.072, 0.0176, 0.334
0.0703, 0.0188, 0.337
0.0694, 0.018, 0.338
0.069, 0.0157, 0.339
0.0687, 0.0117, 0.338
0.0697, 0.0076, 0.338
0.0722, 0.00509, 0.338
0.0762, 0.00462, 0.338
0.0819, 0.00605, 0.338
0.0887, 0.00893, 0.337
0.0967, 0.0125, 0.335
0.106, 0.0152, 0.335
0.117, 0.0164, 0.334
0.129, 0.0159, 0.332
0.14, 0.0131, 0.333
0.15, 0.00891, 0.333
0.158, 0.00383, 0.335
0.167, -0.00104, 0.335
0.178, -0.00484, 0.333
0.189, -0.00668, 0.331
0.199, -0.00562, 0.332
0.208, -0.00228, 0.334
0.217, 0.00269, 0.337
0.225, 0.00841, 0.335
0.234, 0.0129, 0.332
0.245, 0.0152, 0.33
0.256, 0.0151, 0.33
0.265, 0.0128, 0.332
0.273, 0.00877, 0.335
0.282, 0.00439, 0.335
0.292, 0.0011, 0.333
0.303, -0.000719, 0.33
0.316, -0.000561, 0.326
0.328, 0.00205, 0.327
0.339, 0.00643, 0.329
0.351, 0.0112, 0.33
0.363, 0.0152, 0.328
0.376, 0.0177, 0.324
0.388, 0.0173, 0.324
0.4, 0.0145, 0.327
0.412, 0.0102, 0.33
0.424, 0.00536, 0.329
0.437, 0.00159, 0.326
0.452, -0.000306, 0.323
0.465, 0.00107, 0.324
0.478, 0.00508, 0.327
0.492, 0.0106, 0.331
0.505, 0.0166, 0.33
0.52, 0.0219, 0.325
0.536, 0.0256, 0.32
0.55, 0.0259, 0.321
0.565, 0.0236, 0.325
0.58, 0.0199, 0.329
0.595, 0.0159, 0.329
0.611, 0.0124, 0.323
0.627, 0.0111, 0.319
0.641, 0.0134, 0.322
0.656, 0.0182, 0.326
0.671, 0.0243, 0.329
0.686, 0.0307, 0.328
0.702, 0.0368, 0.32
0.718, 0.0407, 0.317
0.733, 0.0412, 0.32
0.748, 0.0393, 0.325
0.764, 0.0362, 0.329
0.78, 0.0326, 0.328
0.797, 0.0291, 0.32
0.812, 0.0272, 0.315
0.826, 0.0287, 0.317
0.84, 0.0323, 0.322
0.855, 0.037, 0.326
0.87, 0.0418, 0.325
0.886, 0.0466, 0.318
0.9, 0.0485, 0.317
0.914, 0.047, 0.321
0.929, 0.0436, 0.325
0.944, 0.0393, 0.328
0.96, 0.0347, 0.326
0.976, 0.0304, 0.317
0.99, 0.0286, 0.315
1, 0.0302, 0.319
1.02, 0.034, 0.324
1.03, 0.0391, 0.327
1.05, 0.0447, 0.326
1.06, 0.0502, 0.318
1.08, 0.0542, 0.314
1.09, 0.0547, 0.318
1.1, 0.0529, 0.323
1.12, 0.0501, 0.327
1.13, 0.047, 0.326
1.15, 0.044, 0.319
1.16, 0.043, 0.316
1.18, 0.0452, 0.319
1.19, 0.0496, 0.323
1.21, 0.055, 0.327
1.22, 0.0608, 0.326
1.23, 0.0665, 0.319
1.25, 0.0693, 0.317
1.26, 0.0687, 0.321
1.28, 0.066, 0.325
1.29, 0.0622, 0.329
1.31, 0.0581, 0.327
1.32, 0.0541, 0.319
1.34, 0.0521, 0.316
1.35, 0.0533, 0.319
1.37, 0.0569, 0.324
1.38, 0.0618, 0.328
1.4, 0.0671, 0.326
1.41, 0.0723, 0.319
1.43, 0.0749, 0.316
1.44, 0.0741, 0.319
1.46, 0.0712, 0.323
1.47, 0.0676, 0.327
1.49, 0.0637, 0.325
1.5, 0.0602, 0.318
1.52, 0.0597, 0.317
1.53, 0.0624, 0.321
1.54, 0.0674, 0.326
1.56, 0.0735, 0.33
1.57, 0.0799, 0.328
1.59, 0.0863, 0.32
1.6, 0.0905, 0.317
1.62, 0.0914, 0.32
1.63, 0.09, 0.325
1.65, 0.0871, 0.329
1.66, 0.0838, 0.328
1.68, 0.0805, 0.321
1.69, 0.0791, 0.316
1.7, 0.0811, 0.318
1.72, 0.0847, 0.322
1.73, 0.0891, 0.326
1.74, 0.0936, 0.325
1.76, 0.0978, 0.32
1.77, 0.0992, 0.318
1.79, 0.0972, 0.321
1.8, 0.0931, 0.326
1.82, 0.0879, 0.329
1.83, 0.0824, 0.327
1.85, 0.0772, 0.32
1.86, 0.0745, 0.317
1.87, 0.0751, 0.32
1.89, 0.0782, 0.325
1.9, 0.0826, 0.329
1.92, 0.0876, 0.328
1.93, 0.0925, 0.321
1.95, 0.0962, 0.315
1.96, 0.0968, 0.317
1.98, 0.0954, 0.322
1.99, 0.093, 0.326
2.01, 0.0904, 0.326
2.02, 0.088, 0.319
2.04, 0.0883, 0.317
2.05, 0.0919, 0.32
2.06, 0.0975, 0.324
2.08, 0.104, 0.327
2.09, 0.11, 0.325
2.11, 0.117, 0.318
2.12, 0.12, 0.317
2.14, 0.12, 0.321
2.15, 0.117, 0.326
2.17, 0.114, 0.33
2.18, 0.109, 0.329
2.2, 0.105, 0.321
2.21, 0.103, 0.315
2.23, 0.103, 0.317
2.24, 0.106, 0.322
2.25, 0.11, 0.326
2.27, 0.114, 0.326
2.28, 0.119, 0.319
2.3, 0.12, 0.317
2.31, 0.118, 0.32
2.33, 0.114, 0.325
2.34, 0.11, 0.328
2.36, 0.105, 0.326
2.37, 0.101, 0.319
2.39, 0.0995, 0.318
2.4, 0.102, 0.322
2.41, 0.106, 0.327
2.43, 0.112, 0.33
2.44, 0.118, 0.329
2.46, 0.125, 0.322
2.47, 0.129, 0.316
2.48, 0.131, 0.318
2.5, 0.131, 0.323
