T, A, B, Oc, C, Oj, tj, Dp, Dn, t1, d1, s1, t2, d2, s2, t3, d3, s3, savg
793, -0.138, -0.247, -0.146, 0.29, 0.35, 0.45, 0.343, 0.133, 3.8, 0, 4.8, 3.8, 0, 4.8, 3.9, 0, 4.8, 4.8
1.48e+03, -0.6, -0.155, -0.248, 0.141, 0.048, 0.4, 0.142, 0.485, 0.75, 0, 1.8, 0.75, 0, 1.8, 0.75, 0, 1.8, 1.8
894, -0.466, -0.309, -0.173, 0.634, 0.466, 0.208, 0.126, 0.00214, 3.8, 0, 4.8, 3.6, 0, 4.6, 3.5, 0, 4.5, 4.6
1.5e+03, -0.257, -0.213, -0.326, 0.066, 0.386, 0.312, 0.203, 0.208, 6.5, 0, 7.4, 6.7, 0, 7.7, 6.8, 0, 7.8, 7.6
1.36e+03, -0.74, -0.239, -0.278, 0.356, 0.402, 0.0154, 0.127, 0.233, 3.9, 0, 4.8, 3.1, 0, 4.1, 3.1, 0, 4.1, 4.3
1.25e+03, -0.507, -0.00505, -0.161, 0.318, 0.0889, 0.363, 0.418, 0.284, 2.9, 0, 3.9, 3, 0, 4.1, 4.1, 0, 5.1, 4.3
249, -0.637, -0.324, -0.018, 0.353, 0.5, 0.235, 0.337, 0.27, 1, 0.31, 11, 1.1, 0.26, 9.9, 1, 0.32, 12, 11
1.84e+03, -0.438, -0.187, -0.0387, 0.679, 0.479, 0.382, 0.00933, 0.166, 4.1, 0.31, 14, 4.2, 0.3, 14, 5.1, 0.3, 15, 14
1.27e+03, -0.482, -0.2, -0.289, 0.404, 0.0854, 0.13, 0.413, 0.0923, 0.7, 0, 1.7, 0.7, 0, 1.7, 0.7, 0, 1.7, 1.7
949, -0.0778, -0.0607, -0.0346, 0.352, 0.449, 0.257, 0.338, 0.326, 4.2, 0.093, 7.9, 4.2, 0.11, 8.3, 4.2, 0.11, 8.5, 8.2
1.32e+03, -0.738, -0.22, -0.166, 0.409, 0.269, 0.403, 0.412, 0.226, 3.2, 0, 4.2, 3.6, 0, 4.6, 3.8, 0, 4.8, 4.5
1.29e+03, -0.0832, -0.235, -0.254, 0.0599, 0.671, 0.376, 0.414, 0.123, 20, 0, 21, 20, 0, 21, 20, 0, 21, 21
1.65e+03, -0.235, -0.0515, -0.275, 0.508, 0.631, 0.178, 0.485, 0.185, 5.7, 0, 6.7, 6, 0, 6.9, 5.7, 0, 6.7, 6.8
1.13e+03, -0.569, -0.368, -0.345, 0.484, 0.336, 0.327, 0.226, 0.372, 1.1, 0, 2, 1.1, 0, 2, 1.1, 0, 2, 2
1.15e+03, -0.342, -0.287, -0.302, 0.00673, 0.0247, 0.325, 0.0248, 0.0369, 0.65, 0, 1.6, 0.65, 0, 1.6, 0.65, 0, 1.6, 1.6
1.15e+03, -0.637, -0.287, -0.302, 0.00673, 0.0247, 0.235, 0.337, 0.27, 0.65, 0, 1.6, 0.65, 0, 1.6, 0.65, 0, 1.6, 1.6
249, -0.342, -0.324, -0.018, 0.353, 0.5, 0.325, 0.0248, 0.0369, 1.1, 0.32, 12, 1.1, 0.31, 12, 1.1, 0.33, 12, 12
250, -0.731, -0.0555, -0.226, 0.499, 0.273, 0.469, 0.243, 0.224, 1.7, 0, 2.7, 1.8, 0, 2.8, 1.6, 0, 2.6, 2.7
1.17e+03, -0.176, -0.00457, -0.381, 0.438, 0.02, 0.0517, 0.299, 0.135, 0.6, 0, 1.6, 0.6, 0, 1.6, 0.6, 0, 1.6, 1.6
1.82e+03, -0.392, -0.239, -0.268, 0.351, 0.568, 0.359, 0.125, 0.233, 7.5, 0, 8.5, 7.3, 0, 8.4, 7.7, 0, 8.6, 8.5
1.36e+03, -0.74, -0.26, -0.278, 0.356, 0.402, 0.0154, 0.127, 0.449, 3.8, 0, 4.8, 3.9, 0, 4.8, 3, 0, 4, 4.5
1.32e+03, -0.738, -0.22, -0.146, 0.409, 0.35, 0.45, 0.412, 0.226, 7.2, 0.43, 21, 4.6, 0, 5.6, 4.2, 0, 5.2, 11
793, -0.138, -0.247, -0.166, 0.29, 0.269, 0.403, 0.343, 0.133, 4.7, 0, 5.7, 4.8, 0, 5.8, 4.8, 0, 5.8, 5.7
268, -0.245, -0.339, -0.248, 0.582, 0.241, 0.424, 0.0115, 0.378, 1.8, 0, 2.8, 2.4, 0.046, 4.8, 1.9, 0.13, 6.8, 4.8
1.62e+03, -0.478, -0.291, -0.357, 0.383, 0.29, 0.203, 0.0325, 0.468, 0.8, 0, 1.8, 0.8, 0, 1.8, 0.8, 0, 1.8, 1.8
1.52e+03, -0.439, -0.287, -0.302, 0.00673, 0.0247, 0.325, 0.0248, 0.0369, 0.65, 0, 1.6, 0.65, 0, 1.6, 0.65, 0, 1.6, 1.6
1.15e+03, -0.342, -0.0164, -0.304, 0.213, 0.545, 0.318, 0.0901, 0.439, 5.2, 0, 6.2, 5.5, 0, 6.5, 5.3, 0, 6.3, 6.3
1.22e+03, -0.0707, -0.295, -0.0546, 0.706, 0.344, 0.234, 0.201, 0.0719, 4.1, 0.01, 5.4, 4.1, 0.013, 5.5, 4.1, 0, 5.1, 5.3
267, -0.327, -0.27, -0.0682, 0.279, 0.529, 0.13, 0.392, 0.49, 1.6, 0.38, 14, 1.6, 0.42, 15, 1.6, 0.42, 15, 15
250, -0.176, -0.149, -0.218, 0.438, 0.02, 0.469, 0.201, 0.255, 0.8, 0, 1.8, 0.8, 0, 1.8, 0.8, 0, 1.8, 1.8
811, -0.541, -0.0555, -0.381, 0.15, 0.366, 0.0759, 0.299, 0.224, 0.9, 0, 1.9, 0.9, 0, 1.9, 0.9, 0, 1.9, 1.9
1.5e+03, -0.235, -0.213, -0.275, 0.066, 0.631, 0.312, 0.485, 0.185, 20, 0, 21, 20, 0, 21, 20, 0, 21, 21
1.65e+03, -0.257, -0.0515, -0.326, 0.508, 0.386, 0.178, 0.203, 0.208, 5.6, 0, 6.6, 5.5, 0, 6.4, 5.4, 0, 6.4, 6.5
1.35e+03, -0.516, -0.235, -0.254, 0.0599, 0.671, 0.463, 0.229, 0.123, 19, 0.22, 27, 7.3, 0.092, 11, 6.2, 0, 7.2, 15
1.29e+03, -0.0832, -0.194, -0.212, 0.439, 0.493, 0.376, 0.414, 0.315, 5.1, 0, 6.1, 5.1, 0.13, 10, 5.2, 0.021, 6.8, 7.7
1.62e+03, -0.0707, -0.295, -0.248, 0.706, 0.344, 0.203, 0.0115, 0.378, 6.7, 0, 7.7, 6.7, 0, 7.7, 6.8, 0, 7.8, 7.7
1.22e+03, -0.245, -0.291, -0.0546, 0.582, 0.29, 0.234, 0.201, 0.0719, 4.9, 0.28, 14, 4.8, 0, 5.8, 5, 0, 5.9, 8.7
1.2e+03, -0.42, -0.0515, -0.275, 0.509, 0.551, 0.178, 0.258, 0.464, 4, 0, 5, 3.9, 0, 4.8, 4.1, 0, 5.1, 5
