T, A, B, Oc, C, Oj, tj, Dp, Dn, t1, d1, s1, t2, d2, s2, t3, d3, s3, savg
358, -0.596, -0.39, -0.0387, 0.727, 0.204, 0.288, 0.0217, 0.166, 2.7, 0.37, 15, 2.3, 0.44, 17, 3.5, 0.38, 16, 16
1.84e+03, -0.716, -0.0531, -0.0783, 0.0452, 0.201, 0.229, 0.07, 0.315, 5.6, 0, 6.6, 5.8, 0, 6.8, 6, 0.22, 13, 8.9
1.73e+03, -0.58, -0.39, -0.203, 0.0414, 0.201, 0.288, 0.0217, 0.247, 4, 0, 5, 4.5, 0, 5.5, 4.1, 0, 5.1, 5.2
1.32e+03, -0.596, -0.389, -0.0819, 0.0452, 0.587, 0.292, 0.182, 0.186, 5.2, 0, 6.2, 3.7, 0.1, 7.8, 3.7, 0, 4.7, 6.2
267, -0.112, -0.295, -0.141, 0.0839, 0.529, 0.454, 0.201, 0.49, 2.5, 0.24, 11, 2.4, 0.13, 7.2, 2.2, 0.26, 11, 9.7
1.82e+03, -0.0707, -0.108, -0.0682, 0.279, 0.191, 0.13, 0.472, 0.0719, 20, 0.049, 22, 20, 0, 21, 20, 0, 21, 21
1.29e+03, -0.0832, -0.235, -0.11, 0.0599, 0.671, 0.26, 0.0576, 0.156, 7.1, 0.43, 21, 7, 0.16, 13, 7, 0.036, 9.1, 14
899, -0.259, -0.377, -0.212, 0.258, 0.522, 0.376, 0.5, 0.123, 4, 0, 4.9, 4.2, 0, 5.2, 3.9, 0, 4.9, 5
535, -0.751, -0.102, -0.0682, 0.538, 0.645, 0.13, 0.201, 0.0719, 1.4, 0.47, 17, 1.2, 0.47, 16, 1.4, 0.46, 16, 16
267, -0.0707, -0.295, -0.146, 0.137, 0.7, 0.0658, 0.191, 0.249, 2.6, 0.12, 7.3, 2, 0.36, 14, 1.8, 0.39, 14, 12
1.65e+03, -0.392, -0.102, -0.0586, 0.538, 0.191, 0.359, 0.485, 0.249, 9.1, 0.43, 23, 5.7, 0, 6.7, 11, 0, 12, 14
1.82e+03, -0.751, -0.108, -0.146, 0.508, 0.631, 0.0658, 0.472, 0.49, 9.2, 0, 10, 9.4, 0, 10, 9.5, 0.24, 18, 13
358, -0.596, -0.26, -0.0783, 0.0599, 0.568, 0.45, 0.125, 0.233, 2.7, 0, 3.7, 2, 0.39, 15, 2.2, 0.55, 20, 13
1.82e+03, -0.392, -0.239, -0.254, 0.727, 0.204, 0.229, 0.125, 0.315, 1.1, 0, 2.2, 1.3, 0, 2.3, 1.1, 0, 2.2, 2.2
1.35e+03, -0.596, -0.39, -0.248, 0.0599, 0.366, 0.203, 0.5, 0, 4, 0, 5, 3.9, 0, 4.8, 5.2, 0, 6.2, 5.3
1.73e+03, -0.58, -0.389, -0.203, 0.538, 0.7, 0.292, 0.182, 0.247, 5.1, 0.51, 21, 5, 0.35, 16, 4.8, 0.48, 20, 19
267, -0.0707, -0.295, -0.0682, 0.0414, 0.587, 0.13, 0.201, 0.0719, 2.6, 0.26, 11, 2.9, 0.32, 13, 2.5, 0.28, 12, 12
358, -0.392, -0.336, -0.0783, 0.727, 0.204, 0.229, 0.125, 0.449, 20, 0.54, 37, 20, 0.26, 29, 20, 0.35, 31, 32
358, -0.392, -0.26, -0.0783, 0.538, 0.204, 0.359, 0.125, 0.233, 4, 0.016, 5.5, 2.2, 0, 3.2, 2.4, 0.44, 17, 8.5
1.84e+03, -0.438, -0.187, -0.0387, 0.78, 0.493, 0.463, 0.00933, 0.315, 3.1, 0.0054, 4.3, 3, 0.066, 6, 3, 0.095, 6.8, 5.7
1.35e+03, -0.516, -0.194, -0.212, 0.679, 0.479, 0.382, 0.229, 0.166, 5, 0, 6, 4, 0, 5, 4.3, 0, 5.3, 5.4
1.82e+03, -0.596, -0.336, -0.141, 0.727, 0.204, 0.454, 0.125, 0.233, 6, 0, 7, 5.1, 0, 6.1, 4.7, 0, 5.7, 6.3
358, -0.112, -0.26, -0.0783, 0.0839, 0.332, 0.229, 0.125, 0.315, 3.6, 0, 4.6, 3, 0, 4.1, 3.2, 0, 4.2, 4.3
1.35e+03, -0.516, -0.235, -0.212, 0.439, 0.671, 0.463, 0.5, 0, 4.2, 0.51, 21, 4.5, 0, 5.4, 4, 0.48, 19, 15
1.35e+03, -0.0707, -0.194, -0.248, 0.0599, 0.493, 0.203, 0.229, 0.315, 20, 0, 21, 20, 0.14, 25, 20, 0, 21, 22
535, -0.138, -0.0351, -0.146, 0.137, 0.645, 0.403, 0.191, 0.187, 20, 0.013, 21, 20, 0.026, 22, 20, 0, 21, 21
1.15e+03, -0.751, -0.102, -0.166, 0.238, 0.269, 0.0658, 0.436, 0.249, 3.1, 0, 4.1, 3, 0, 4, 3, 0, 4.1, 4
358, -0.0707, -0.108, -0.0682, 0.727, 0.191, 0.229, 0.125, 0.0719, 20, 0.082, 23, 20, 0.11, 24, 20, 0.084, 24, 24
1.82e+03, -0.392, 0, -0.0783, 0.279, 0.204, 0.13, 0.472, 0.449, 10, 0, 11, 14, 0, 15, 9.7, 0, 11, 12
1.82e+03, -0.596, -0.26, -0.0783, 0.0599, 0.201, 0.359, 0.125, 0.233, 8.4, 0, 9.4, 8.3, 0.47, 23, 8.1, 0.51, 24, 19
358, -0.392, -0.39, -0.0387, 0.279, 0.568, 0.45, 0.125, 0.233, 1.6, 0.38, 14, 1.3, 0.38, 14, 1.3, 0.4, 14, 14
358, -0.138, -0.247, -0.0783, 0.538, 0.204, 0.229, 0.125, 0.449, 20, 0.7, 42, 20, 0.77, 44, 20, 0.72, 42, 43
358, -0.392, -0.26, -0.0783, 0.727, 0.671, 0.45, 0.125, 0.123, 1.1, 0.43, 15, 1.1, 0.41, 14, 1.1, 0.41, 14, 15
1.29e+03, -0.0832, -0.235, -0.11, 0.0599, 0.671, 0.451, 0.0576, 0.156, 6.2, 0.34, 17, 5.8, 0.4, 19, 6.2, 0.27, 15, 17
1.29e+03, -0.0832, -0.235, -0.11, 0.0599, 0.671, 0.26, 0.0576, 0.156, 6.6, 0.44, 21, 6.3, 0.39, 19, 6.3, 0.28, 16, 18
358, -0.516, -0.235, -0.0783, 0.538, 0.671, 0.463, 0.125, 0.123, 1.1, 0.41, 14, 1.1, 0.42, 15, 1.1, 0.4, 14, 14
1.35e+03, -0.138, -0.247, -0.254, 0.0599, 0.671, 0.45, 0.229, 0.123, 18, 0, 19, 20, 0.078, 23, 20, 0.015, 21, 21
1.29e+03, -0.0832, -0.194, -0.212, 0.727, 0.204, 0.203, 0.07, 0.315, 6.7, 0, 7.7, 6.2, 0, 7.2, 6.3, 0, 7.3, 7.4
1.35e+03, -0.716, -0.0531, -0.0783, 0.439, 0.493, 0.229, 0.5, 0, 7.7, 0, 8.7, 5.6, 0.16, 11, 6.8, 0, 7.8, 9.2
1.35e+03, -0.716, -0.194, -0.0387, 0.727, 0.479, 0.382, 0.00933, 0.247, 3.4, 0, 4.4, 3.5, 0, 4.4, 3.9, 0, 4.8, 4.6
358, -0.596, -0.39, -0.0783, 0.0599, 0.671, 0.229, 0.0217, 0.123, 1.1, 0.39, 14, 1.1, 0.4, 14, 1.1, 0.39, 14, 14
1.29e+03, -0.0832, -0.235, -0.254, 0.727, 0.204, 0.376, 0.414, 0.315, 1.1, 0, 2.2, 1.2, 0, 2.2, 1.2, 0, 2.2, 2.2
811, -0.112, -0.39, -0.141, 0.727, 0.191, 0.454, 0.0217, 0.49, 3, 0, 4, 2.9, 0, 3.9, 3.2, 0, 4.2, 4
1.82e+03, -0.596, -0.108, -0.0783, 0.0839, 0.204, 0.229, 0.472, 0.315, 7, 0, 7.9, 6.4, 0, 7.4, 6.5, 0, 7.5, 7.6
811, -0.596, -0.39, -0.248, 0.721, 0.204, 0.229, 0.229, 0.315, 2.2, 0, 3.2, 1.3, 0, 2.3, 3.3, 0.075, 6.5, 4
1.35e+03, -0.0707, -0.194, -0.0783, 0.727, 0.493, 0.203, 0.0217, 0.315, 3.9, 0.015, 5.3, 3.9, 0, 4.9, 3.9, 0.021, 5.5, 5.2
358, -0.596, -0.39, -0.0387, 0.0599, 0.204, 0.451, 0.0217, 0.156, 2.4, 0, 3.3, 2.5, 0.16, 8.2, 2.3, 0.18, 8.8, 6.8
1.29e+03, -0.0832, -0.235, -0.11, 0.727, 0.671, 0.288, 0.0576, 0.166, 3.5, 0.037, 5.6, 1.5, 0.44, 16, 3.4, 0.035, 5.4, 8.9
358, -0.0832, -0.235, -0.254, 0.0599, 0.671, 0.376, 0.414, 0.123, 3.5, 0, 4.4, 3.5, 0, 4.5, 3.3, 0, 4.3, 4.4
1.29e+03, -0.138, -0.247, -0.0783, 0.538, 0.671, 0.45, 0.125, 0.123, 1.1, 0.44, 15, 1.1, 0.44, 15, 1.1, 0.43, 15, 15
1.73e+03, -0.58, -0.389, -0.203, 0.727, 0.7, 0.229, 0.182, 0.449, 5.6, 0, 6.6, 4.5, 0.48, 20, 4.9, 0.51, 21, 16
358, -0.392, -0.336, -0.0783, 0.538, 0.204, 0.292, 0.125, 0.247, 3.2, 0.084, 6.7, 20, 0.27, 29, 2.7, 0.43, 17, 17
535, -0.0707, -0.108, -0.0682, 0.538, 0.191, 0.13, 0.201, 0.0719, 20, 0, 21, 20, 0.0035, 21, 20, 0, 21, 21
1.82e+03, -0.751, -0.102, -0.0682, 0.279, 0.645, 0.13, 0.472, 0.0719, 1.6, 0.45, 16, 1.5, 0.44, 16, 1.2, 0.44, 16, 16
267, -0.516, -0.235, -0.254, 0.0599, 0.671, 0.463, 0.414, 0.123, 1.3, 0, 2.3, 1.2, 0, 2.2, 1.3, 0, 2.3, 2.3
1.35e+03, -0.0707, -0.235, -0.254, 0.279, 0.671, 0.13, 0.229, 0.123, 20, 0.28, 30, 20, 0.1, 24, 20, 0.23, 28, 27
793, -0.138, -0.235, -0.248, 0.0599, 0.671, 0.45, 0.229, 0.123, 20, 0, 21, 20, 0, 21, 8.9, 0, 9.9, 17
1.35e+03, -0.0707, -0.247, -0.254, 0.0599, 0.671, 0.203, 0.5, 0, 20, 0.0069, 21, 20, 0, 21, 20, 0, 21, 21
793, -0.0707, -0.235, -0.254, 0.0599, 0.671, 0.203, 0.229, 0, 20, 0, 21, 20, 0, 21, 20, 0, 21, 21
1.35e+03, -0.138, -0.247, -0.248, 0.0599, 0.671, 0.45, 0.5, 0.123, 20, 0, 21, 20, 0.039, 22, 20, 0.058, 23, 22
267, -0.0707, -0.194, -0.0783, 0.727, 0.493, 0.13, 0.201, 0.0719, 20, 1.8, 74, 20, 1.1, 55, 20, 1, 51, 60
1.35e+03, -0.716, -0.295, -0.0682, 0.538, 0.7, 0.203, 0.5, 0, 1.1, 0.45, 16, 1, 0.44, 15, 1, 0.44, 15, 15
358, -0.392, -0.235, -0.248, 0.727, 0.204, 0.229, 0.125, 0.449, 1.2, 0, 2.2, 1.4, 0, 2.4, 1.3, 0, 2.3, 2.3
1.35e+03, -0.0707, -0.336, -0.0783, 0.0599, 0.671, 0.203, 0.5, 0, 1.2, 0.44, 15, 1.2, 0.44, 15, 1.2, 0.44, 15, 15
1.82e+03, -0.138, -0.247, -0.0387, 0.0599, 0.201, 0.45, 0.229, 0.233, 20, 0, 21, 20, 0, 21, 20, 0, 21, 21
899, -0.751, -0.377, -0.0682, 0.258, 0.522, 0.13, 0.0576, 0.156, 3.4, 0, 4.3, 3.4, 0, 4.4, 3.2, 0, 4.2, 4.3
535, -0.259, -0.102, -0.11, 0.538, 0.645, 0.26, 0.201, 0.0719, 20, 0.27, 29, 20, 0, 21, 20, 0.016, 21, 24
811, -0.112, -0.108, -0.0783, 0.727, 0.304, 0.242, 0.472, 0.315, 2.9, 0, 3.9, 2.9, 0, 3.9, 2.9, 0, 3.9, 3.9
1.82e+03, -0.596, -0.39, -0.141, 0.0839, 0.204, 0.229, 0.0217, 0.49, 5.8, 0, 6.8, 6.2, 0, 7.2, 4, 0, 4.9, 6.3
899, -0.259, -0.239, -0.11, 0.258, 0.568, 0.26, 0.125, 0.156, 4.5, 0, 5.4, 4.5, 0, 5.4, 4.4, 0.23, 12, 7.8
1.82e+03, -0.392, -0.377, -0.254, 0.0599, 0.522, 0.45, 0.0576, 0.233, 20, 0, 21, 12, 0, 13, 11, 0, 12, 15
267, -0.392, -0.336, -0.254, 0.279, 0.671, 0.13, 0.125, 0.233, 1.6, 0, 2.5, 1.5, 0.02, 3.1, 1.6, 0, 2.5, 2.7
358, -0.0707, -0.235, -0.0783, 0.538, 0.204, 0.359, 0.414, 0.123, 20, 0.8, 45, 20, 0.33, 31, 17, 0.33, 28, 35
1.73e+03, -0.58, -0.26, -0.203, 0.727, 0.7, 0.229, 0.182, 0.449, 4.5, 0, 5.4, 4.2, 0.0021, 5.3, 4.2, 0.21, 12, 7.4
358, -0.596, -0.389, -0.0783, 0.727, 0.204, 0.229, 0.125, 0.315, 2.4, 0.44, 17, 2.4, 0.47, 17, 2.5, 0.42, 16, 17
267, -0.259, -0.295, -0.0682, 0.258, 0.7, 0.26, 0.201, 0.0719, 0.95, 0.42, 14, 0.95, 0.42, 15, 0.95, 0.43, 15, 15
899, -0.0707, -0.377, -0.11, 0.538, 0.522, 0.13, 0.0576, 0.156, 4.5, 0.5, 20, 4.2, 0.52, 21, 4.1, 0.4, 17, 19
358, -0.596, 0, -0.0387, 0.727, 0.204, 0.288, 0.125, 0.166, 3.3, 0, 4.3, 3.1, 0, 4.1, 3.5, 0, 4.4, 4.3
358, -0.392, -0.39, -0.0783, 0.727, 0.204, 0.229, 0.0217, 0.449, 20, 0.45, 34, 20, 0.21, 27, 20, 0.28, 29, 30
358, -0.392, -0.39, -0.248, 0.727, 0.204, 0.229, 0.0217, 0.449, 1.2, 0, 2.2, 1.4, 0, 2.4, 1.4, 0, 2.3, 2.3
793, -0.138, -0.235, -0.0783, 0.0599, 0.671, 0.45, 0.229, 0.123, 1.1, 0.45, 16, 1.1, 0.44, 15, 1.1, 0.44, 15, 15
1.35e+03, -0.392, -0.239, -0.254, 0.0599, 0.568, 0.45, 0.125, 0.123, 11, 0, 12, 20, 0.072, 23, 13, 0.16, 19, 18
1.82e+03, -0.138, -0.247, -0.254, 0.0599, 0.671, 0.45, 0.229, 0.233, 20, 0, 21, 20, 0, 21, 20, 0, 21, 21
358, -0.596, -0.39, -0.0783, 0.727, 0.204, 0.229, 0.0217, 0.315, 2.5, 0.5, 18, 2.9, 0.4, 16, 2.3, 0.48, 18, 17
1.35e+03, -0.138, -0.247, -0.0783, 0.0599, 0.671, 0.229, 0.125, 0.123, 1.3, 0.44, 15, 1.3, 0.45, 16, 1.2, 0.44, 15, 16
358, -0.596, -0.26, -0.254, 0.727, 0.204, 0.45, 0.229, 0.315, 1.1, 0, 2, 1.1, 0, 2.1, 1.1, 0, 2, 2.1
793, -0.138, -0.235, -0.254, 0.0599, 0.671, 0.45, 0.229, 0.123, 20, 0, 21, 20, 0, 21, 4.7, 0, 5.7, 16
793, -0.0707, -0.235, -0.248, 0.0599, 0.671, 0.203, 0.229, 0, 20, 0, 21, 20, 0, 21, 20, 0, 21, 21
648, -0.22, -0.235, -0.254, 0.414, 0.523, 0.0722, 0.414, 0.335, 20, 0.13, 25, 20, 0.28, 30, 20, 0.1, 24, 26
1.29e+03, -0.0832, -0.159, -0.252, 0.0599, 0.671, 0.376, 0.436, 0.123, 20, 0, 21, 20, 0, 21, 20, 0, 21, 21
1.35e+03, -0.138, -0.247, -0.248, 0.0599, 0.671, 0.45, 0.5, 0.123, 9.5, 0.23, 17, 20, 0.043, 22, 16, 0, 17, 19
1.35e+03, -0.138, -0.247, -0.254, 0.0599, 0.671, 0.45, 0.229, 0.123, 20, 0.0049, 21, 12, 0.4, 25, 20, 0.038, 22, 23
358, -0.112, -0.108, -0.0783, 0.0839, 0.304, 0.229, 0.0217, 0.449, 7.2, 0.048, 9.7, 4.9, 0, 5.9, 5.2, 0.29, 15, 10
1.82e+03, -0.392, -0.39, -0.141, 0.727, 0.204, 0.242, 0.472, 0.49, 7.2, 0, 8.2, 8.4, 0, 9.4, 7.5, 0.4, 21, 13
1.73e+03, -0.138, -0.389, -0.254, 0.538, 0.671, 0.292, 0.182, 0.247, 5.2, 0.00049, 6.2, 5.2, 0.01, 6.5, 5.1, 0, 6.1, 6.2
1.35e+03, -0.58, -0.247, -0.203, 0.0599, 0.7, 0.45, 0.229, 0.123, 4.3, 0, 5.3, 5.4, 0, 6.4, 5.9, 0.33, 17, 9.5
1.82e+03, -0.392, -0.247, -0.0387, 0.0599, 0.204, 0.45, 0.0217, 0.449, 20, 0, 21, 20, 0, 21, 20, 0, 21, 21
358, -0.138, -0.39, -0.0783, 0.727, 0.201, 0.229, 0.229, 0.233, 20, 0.52, 37, 20, 0.21, 27, 20, 0.54, 37, 34
1.82e+03, -0.58, -0.389, -0.203, 0.0839, 0.304, 0.242, 0.182, 0.247, 6.1, 0, 7.1, 4, 0, 5, 5.9, 0, 6.9, 6.3
1.73e+03, -0.112, -0.108, -0.141, 0.538, 0.7, 0.292, 0.472, 0.49, 5.1, 0.14, 10, 5.1, 0.12, 9.5, 5.1, 0.04, 7.3, 9
1.35e+03, -0.0707, -0.235, -0.254, 0.0599, 0.568, 0.203, 0.5, 0, 20, 0, 21, 20, 0, 21, 20, 0.031, 22, 21
1.35e+03, -0.392, -0.239, -0.248, 0.0599, 0.671, 0.5, 0.125, 0.123, 12, 0, 13, 12, 0.017, 14, 12, 0, 13, 13
648, -0.22, -0.159, -0.11, 0.414, 0.645, 0.26, 0.436, 0.0719, 5.2, 0.73, 28, 5.2, 0.77, 29, 8.2, 0, 9.1, 22
793, -0.392, -0.235, -0.0783, 0.0599, 0.204, 0.229, 0.125, 0.449, 4, 0, 5, 3.7, 0, 4.7, 4.5, 0, 5.5, 5
358, -0.0707, -0.336, -0.248, 0.727, 0.671, 0.203, 0.229, 0, 20, 1.8, 74, 20, 0.83, 46, 20, 0.71, 42, 54
1.82e+03, -0.112, -0.194, -0.141, 0.0839, 0.332, 0.454, 0.125, 0.378, 20, 0, 21, 20, 0, 21, 20, 0, 21, 21
1.29e+03, -0.0707, -0.336, -0.248, 0.439, 0.344, 0.203, 0.5, 0.233, 20, 0.2, 27, 20, 0.28, 29, 20, 0, 21, 26
267, -0.22, -0.194, -0.254, 0.414, 0.523, 0.13, 0.201, 0.335, 12, 3.1, 1.1e+02, 12, 3, 1e+02, 12, 3.1, 1.1e+02, 1.1e+02
648, -0.0707, -0.235, -0.0783, 0.727, 0.493, 0.0722, 0.414, 0.0719, 4.6, 0.026, 6.3, 10, 0.3, 20, 4.7, 0.36, 17, 14
358, -0.0707, -0.194, -0.0783, 0.727, 0.493, 0.13, 0.229, 0.233, 20, 0.93, 49, 20, 0.85, 46, 20, 0.86, 47, 47
267, -0.138, -0.39, -0.0783, 0.727, 0.201, 0.229, 0.201, 0, 20, 2, 80, 20, 0.89, 48, 20, 1.5, 67, 65
358, -0.392, -0.26, -0.0783, 0.727, 0.645, 0.403, 0.191, 0.449, 1.2, 0.43, 15, 1.2, 0.44, 15, 1.1, 0.42, 15, 15
535, -0.138, -0.0351, -0.146, 0.137, 0.204, 0.229, 0.125, 0.187, 18, 0, 19, 4.8, 0.056, 7.5, 4.3, 0, 5.3, 11
1.35e+03, -0.138, -0.247, -0.0783, 0.727, 0.671, 0.229, 0.0217, 0.123, 1.2, 0.45, 16, 1.2, 0.45, 16, 1.2, 0.44, 16, 16
358, -0.392, -0.39, -0.248, 0.0599, 0.204, 0.45, 0.5, 0.449, 1.3, 0, 2.3, 1.6, 0, 2.5, 1.3, 0, 2.3, 2.4
1.35e+03, -0.0707, -0.247, -0.254, 0.0599, 0.671, 0.203, 0.229, 0.315, 20, 0, 21, 15, 0.12, 20, 20, 0.0028, 21, 21
1.35e+03, -0.138, -0.194, -0.248, 0.0599, 0.493, 0.45, 0.229, 0.123, 20, 0.062, 23, 20, 0.19, 27, 20, 0.025, 22, 24
1.35e+03, -0.0707, -0.235, -0.254, 0.414, 0.523, 0.0722, 0.414, 0, 20, 0.41, 33, 20, 0.49, 36, 20, 0.47, 35, 35
648, -0.22, -0.235, -0.248, 0.0599, 0.671, 0.203, 0.5, 0.335, 7.4, 0, 8.4, 4.3, 0, 5.3, 4, 0.014, 5.4, 6.4
358, -0.138, -0.39, -0.0682, 0.727, 0.191, 0.229, 0.229, 0.0719, 2.8, 0.45, 17, 20, 0.38, 32, 20, 0.25, 28, 26
1.82e+03, -0.0707, -0.108, -0.0783, 0.279, 0.201, 0.13, 0.472, 0.233, 20, 0.026, 22, 20, 0, 21, 20, 0.042, 22, 22
648, -0.0707, -0.159, -0.0783, 0.727, 0.523, 0.0722, 0.201, 0.335, 4.1, 0.33, 15, 4.3, 0.063, 7.2, 3.1, 0.18, 9.6, 11
267, -0.22, -0.194, -0.252, 0.414, 0.493, 0.13, 0.436, 0.0719, 2.7, 0, 3.7, 12, 3.1, 1.1e+02, 12, 3.1, 1.1e+02, 72
358, -0.138, -0.247, -0.0783, 0.0839, 0.204, 0.454, 0.125, 0.449, 3.7, 0, 4.7, 2.9, 0, 3.8, 3.5, 0, 4.5, 4.3
267, -0.138, -0.39, -0.0783, 0.727, 0.204, 0.229, 0.201, 0.449, 20, 1.4, 63, 20, 1.9, 79, 20, 1.4, 63, 69
358, -0.138, -0.247, -0.0783, 0.538, 0.201, 0.229, 0.125, 0, 20, 0.27, 29, 20, 0.18, 26, 20, 0.22, 28, 28
267, -0.0707, -0.194, -0.11, 0.538, 0.645, 0.13, 0.201, 0.0719, 20, 2, 82, 20, 1.9, 79, 20, 2, 81, 81
535, -0.259, -0.102, -0.0783, 0.727, 0.493, 0.26, 0.201, 0.0719, 20, 0, 21, 2.2, 0.52, 19, 3.2, 0.38, 15, 18
358, -0.138, -0.0351, -0.0783, 0.538, 0.204, 0.229, 0.125, 0.187, 20, 0, 21, 20, 0, 21, 20, 0, 21, 21
535, -0.138, -0.247, -0.146, 0.137, 0.645, 0.403, 0, 0.449, 5, 0.4, 18, 4.8, 0.43, 19, 3, 0.35, 15, 17
1.82e+03, -0.112, -0.39, -0.141, 0.0839, 0.332, 0.229, 0.125, 0.233, 13, 0.19, 20, 14, 0.16, 19, 13, 0, 14, 18
358, -0.138, -0.336, -0.0783, 0.727, 0.201, 0.454, 0.229, 0.233, 2.4, 0.44, 16, 7.7, 0.23, 16, 2.3, 0.4, 15, 16
1.35e+03, -0.0707, -0.247, -0.248, 0.0599, 0.671, 0.203, 0.229, 0.315, 20, 0, 21, 20, 0, 21, 20, 0, 21, 21
1.35e+03, -0.138, -0.194, -0.254, 0.0599, 0.493, 0.45, 0.229, 0.123, 20, 0.078, 23, 20, 0.045, 22, 20, 0.22, 28, 24
535, -0.259, -0.102, -0.11, 0.538, 0.204, 0.26, 0.125, 0.0719, 3.7, 0.29, 13, 20, 0, 21, 3.6, 0, 4.6, 13
358, -0.392, -0.336, -0.0783, 0.727, 0.645, 0.229, 0.201, 0.449, 1.2, 0.46, 16, 1.2, 0.45, 16, 1.2, 0.47, 16, 16
1.35e+03, -0.138, -0.247, -0.146, 0.137, 0.645, 0.403, 0.191, 0.187, 6, 0.3, 16, 5.8, 0, 6.8, 5.9, 0.36, 18, 14
535, -0.138, -0.0351, -0.254, 0.0599, 0.671, 0.45, 0.229, 0.123, 20, 0, 21, 20, 0, 21, 20, 0.036, 22, 21
358, -0.138, -0.39, -0.0783, 0.727, 0.201, 0.229, 0.229, 0.233, 4.2, 0.71, 26, 20, 0.62, 39, 20, 0.43, 34, 33
358, -0.138, -0.39, -0.0783, 0.727, 0.201, 0.229, 0.229, 0.233, 20, 0.34, 31, 20, 0.39, 33, 3.8, 0.67, 25, 30
1.35e+03, -0.0707, -0.235, -0.254, 0.0599, 0.568, 0.203, 0.5, 0, 20, 0, 21, 20, 0, 21, 20, 0, 21, 21
1.35e+03, -0.0707, -0.235, -0.254, 0.0599, 0.568, 0.203, 0.5, 0, 20, 0, 21, 20, 0, 21, 20, 0, 21, 21
358, -0.0707, -0.0351, -0.146, 0.137, 0.493, 0.403, 0.191, 0.187, 20, 0, 21, 20, 0, 21, 20, 0, 21, 21
535, -0.138, -0.194, -0.0783, 0.727, 0.645, 0.13, 0.229, 0.233, 1.5, 0.48, 17, 20, 1.4, 63, 20, 1.6, 69, 50
1.29e+03, -0.0707, -0.336, -0.254, 0.414, 0.344, 0.203, 0.414, 0.233, 20, 0.093, 24, 20, 0.45, 34, 20, 0.46, 35, 31
648, -0.22, -0.235, -0.248, 0.439, 0.503, 0.0722, 0.5, 0.335, 20, 0, 21, 20, 0.1, 24, 20, 0.42, 34, 26
1.82e+03, -0.112, -0.336, -0.141, 0.0839, 0.332, 0.454, 0.125, 0.233, 17, 0, 18, 20, 0, 21, 11, 0.023, 13, 17
358, -0.392, -0.336, -0.0783, 0.727, 0.204, 0.229, 0.125, 0.449, 20, 0.2, 27, 20, 0.23, 28, 20, 0.47, 35, 30
358, -0.392, -0.336, -0.0783, 0.727, 0.204, 0.229, 0.125, 0.449, 20, 0.39, 33, 20, 0.23, 28, 20, 0.35, 32, 31
358, -0.138, -0.39, -0.248, 0.727, 0.204, 0.203, 0.201, 0.449, 2.9, 0.53, 20, 1.2, 0, 2.2, 20, 0, 21, 14
267, -0.0707, -0.336, -0.0783, 0.727, 0.671, 0.229, 0.229, 0, 1.1, 0.48, 16, 1.1, 0.48, 17, 1.1, 0.48, 17, 17
648, -0.138, -0.159, -0.0783, 0.538, 0.204, 0.0722, 0.125, 0.449, 20, 0, 21, 20, 0, 21, 20, 0, 21, 21
358, -0.22, -0.247, -0.252, 0.414, 0.523, 0.229, 0.436, 0.335, 18, 3.1, 1.1e+02, 10, 0.54, 28, 18, 3.1, 1.1e+02, 83
1.82e+03, -0.112, -0.194, -0.141, 0.727, 0.332, 0.13, 0.125, 0.0719, 6, 0, 7, 7.3, 0, 8.4, 6, 0, 6.9, 7.4
267, -0.0707, -0.336, -0.0783, 0.0839, 0.493, 0.454, 0.201, 0.233, 3.5, 0.16, 9.2, 4.5, 0, 5.4, 2.5, 0.25, 11, 8.5
267, -0.22, -0.194, -0.252, 0.0599, 0.568, 0.45, 0.436, 0.233, 2, 0, 3, 2.1, 0, 3.1, 2, 0, 3, 3
1.82e+03, -0.392, -0.239, -0.254, 0.414, 0.493, 0.13, 0.125, 0.0719, 16, 0, 17, 14, 0.11, 19, 10, 0, 11, 16
358, -0.0707, -0.39, -0.0783, 0.727, 0.204, 0.13, 0.229, 0.233, 20, 0.78, 44, 20, 0.77, 44, 20, 0.78, 44, 44
358, -0.392, -0.194, -0.0783, 0.727, 0.493, 0.229, 0.0217, 0.449, 20, 0.25, 29, 20, 1.2, 56, 20, 0.18, 26, 37
1.82e+03, -0.0707, -0.239, -0.254, 0.439, 0.568, 0.203, 0.125, 0.233, 17, 0, 18, 20, 0, 21, 14, 0, 15, 18
1.29e+03, -0.392, -0.336, -0.248, 0.0599, 0.344, 0.45, 0.5, 0.233, 4.9, 0.039, 7.1, 10, 0, 11, 5, 0, 6, 8.2
267, -0.112, -0.336, -0.141, 0.0839, 0.493, 0.454, 0.201, 0.0719, 2, 0.33, 13, 2.2, 0.24, 10, 2.2, 0.25, 11, 11
1.82e+03, -0.0707, -0.194, -0.0783, 0.727, 0.332, 0.13, 0.125, 0.233, 7.2, 0.019, 8.8, 6.3, 0, 7.3, 7.2, 0, 8.2, 8.1
358, -0.138, -0.102, -0.0783, 0.538, 0.204, 0.229, 0.125, 0.449, 20, 0.67, 41, 20, 0.52, 37, 20, 0.46, 35, 37
535, -0.259, -0.247, -0.11, 0.538, 0.645, 0.26, 0.201, 0.0719, 2.7, 0.5, 19, 2.9, 0.55, 20, 2.9, 0.58, 21, 20
