T, A, B, Oc, C, Oj, tj, Dp, Dn, E, t1, dx1, dy1, s1, t2, dx2, dy2, s2, t3, dx3, dy3, s3, savg
466, -0.676, -0.279, -0.118, 1.88, 0.0945, 0.435, 0.187, 0.00971, 0.331, 2, 0.22, -0.3, 11, 2.1, 0.069, -0.4, 8.5, 2.3, 0.17, -0.36, 11, 10
580, -0.972, -0.093, -0.171, 2.71, 0.785, 0.419, 0.293, 0.456, 0.207, 0.98, 0.44, 0.042, 15, 1.3, 0.48, 0.049, 17, 0.95, 0.45, 0.042, 15, 16
418, -0.971, -0.382, -0.302, 2.32, 1.86, 0.0577, 0.303, 0.829, 0.0201, 0.52, 0.29, -0.033, 10, 0.52, 0.29, -0.032, 10, 0.52, 0.29, -0.03, 10, 10
467, -0.738, -0.296, -0.419, 1.16, 0.516, 0.445, 0.41, 0.617, 0.332, 0.95, -0.29, -0.06, 4.9, 0.98, -0.32, -0.03, 5.2, 0.98, -0.32, -0.03, 5.2, 5.1
403, -0.346, -0.0983, -0.441, 1.74, 0.356, 0.16, 0.697, 0.539, 0.049, 0.62, -0.33, -0.0019, 4.9, 0.62, -0.33, 0.00081, 4.9, 0.62, -0.33, -0.0018, 4.9, 4.9
591, -0.955, -0.051, -0.117, 2.44, 1.93, 0.0516, 0.342, 0.0808, 0.157, 0.6, 0.29, -0.016, 10, 0.6, 0.3, -0.0087, 11, 0.6, 0.3, -0.014, 11, 10
211, -0.745, -0.318, -0.35, 0.936, 1.36, 0.26, 0.517, 0.569, 0.0967, 0.55, 0.31, -0.067, 11, 0.57, 0.31, -0.077, 11, 0.57, 0.3, -0.079, 11, 11
508, -0.237, -0.164, -0.0198, 2.15, 0.654, 0.0876, 0.357, 0.788, 0.241, 0.9, 0.39, -0.086, 14, 0.98, 0.39, -0.07, 14, 0.95, 0.38, -0.066, 13, 14
574, -0.202, -0.192, -0.437, 1.75, 1.84, 0.464, 0.478, 0.0415, 0.112, 0.52, 0.3, -0.0026, 10, 0.52, 0.31, -0.002, 11, 0.52, 0.31, -0.0029, 11, 11
272, -0.372, -0.0614, -0.189, 0.504, 1.71, 0.446, 0.481, 0.837, 0.271, 0.55, 0.29, -0.0068, 10, 0.57, 0.31, -0.0029, 11, 0.57, 0.31, -0.00089, 11, 11
