T, A, B, Oc, C, Oj, tj, Dp, Dn, E, t1, dx1, dy1, s1, t2, dx2, dy2, s2, t3, dx3, dy3, s3, savg
293, -0.617, -0.0431, -0.483, 1.31, 0.653, 0.00672, 0.394, 0.611, 0.238, 1.1, -0.35, -0.011, 5.6, 1.1, -0.37, -0.013, 5.8, 1.1, -0.36, 0.0034, 5.8, 5.7
496, -0.398, -0.095, -0.38, 0.769, 0.348, 0.261, 0.215, 0.592, 0.404, 0.77, -0.34, 0.016, 5.2, 0.77, -0.35, 0.022, 5.3, 0.77, -0.34, 0.015, 5.2, 5.2
583, -0.309, -0.0925, -0.137, 1.28, 0.861, 0.00953, 0.925, 0.425, 0.235, 0.77, 0.37, -0.038, 13, 0.8, 0.37, -0.037, 13, 0.77, 0.37, -0.042, 13, 13
228, -0.54, -0.225, -0.424, 0.379, 1.31, 0.0616, 0.589, 0.254, 0.495, 0.62, 0.33, -0.079, 11, 0.57, 0.33, -0.061, 11, 0.6, 0.35, -0.036, 12, 12
263, -0.587, -0.0938, -0.333, 1.88, 1.68, 0.214, 0.0726, 0.217, 0.47, 0.55, 0.31, -0.028, 11, 0.52, 0.29, -0.051, 10, 0.52, 0.29, -0.03, 10, 10
421, -0.627, -0.385, -0.449, 1.28, 0.498, 0.446, 0.278, 0.201, 0.483, 1, -0.38, -0.045, 5.8, 0.9, -0.28, -0.13, 5, 0.9, -0.29, -0.12, 5, 5.3
391, -0.237, -0.316, -0.312, 0.917, 0.644, 0.475, 0.355, 0.616, 0.411, 15, 0.52, 0.32, 33, 15, 0.49, -0.11, 31, 1.7, -0.38, 0.21, 7, 24
403, -0.313, -0.325, -0.183, 0.763, 1.79, 0.189, 0.745, 0.67, 0.273, 0.57, 0.3, -0.014, 11, 0.57, 0.3, -0.012, 11, 0.57, 0.3, -0.01, 11, 11
313, -0.797, -0.311, -0.319, 0.408, 1.36, 0.276, 0.152, 0.673, 0.331, 0.57, 0.33, -0.037, 11, 0.57, 0.32, -0.032, 11, 0.57, 0.32, -0.038, 11, 11
345, -0.356, -0.233, -0.133, 1.69, 1.92, 0.0473, 0.98, 0.5, 0.48, 0.57, 0.29, -0.017, 10, 0.43, 0.3, 0.036, 10, 0.57, 0.3, -0.024, 11, 10
525, -0.914, -0.0777, -0.467, 1.16, 0.328, 0.27, 0.835, 0.819, 0.076, 0.62, -0.32, -0.067, 4.9, 0.57, -0.32, -0.062, 4.8, 0.57, -0.32, -0.06, 4.8, 4.8
446, -0.783, -0.025, -0.169, 0.968, 1.36, 0.0741, 0.47, 0.247, 0.487, 0.6, 0.32, -0.015, 11, 0.57, 0.3, -0.015, 11, 0.57, 0.3, -0.012, 11, 11
238, -0.692, -0.351, -0.346, 1.41, 1.06, 0.0635, 0.361, 0.882, 0.0876, 0.68, 0.35, 0.047, 12, 0.73, 0.38, 0.019, 13, 0.7, 0.38, -0.0069, 13, 13
266, -0.618, -0.358, -0.193, 1.05, 0.835, 0.207, 0.47, 0.124, 0.112, 0.9, 0.36, 0.021, 13, 0.82, 0.34, -0.0099, 12, 0.9, 0.35, 0.024, 12, 12
218, -0.355, -0.262, -0.429, 0.417, 0.551, 0.0993, 0.421, 0.306, 0.0465, 0.88, -0.28, -0.00053, 4.6, 0.88, -0.27, -0.0011, 4.6, 0.88, -0.27, 0.0012, 4.6, 4.6
384, -0.852, -0.256, -0.252, 0.977, 1.92, 0.456, 0.268, 0.245, 0.368, 0.52, 0.28, -0.033, 10, 0.52, 0.29, -0.031, 10, 0.52, 0.3, -0.032, 10, 10
486, -0.355, -0.0567, -0.098, 1.8, 1.19, 0.433, 0.946, 0.386, 0.176, 0.65, 0.34, 0.058, 12, 0.65, 0.32, 0.06, 11, 0.65, 0.32, 0.059, 11, 12
397, -0.214, -0.377, -0.282, 1.51, 1.7, 0.138, 0.499, 0.361, 0.363, 0.55, 0.31, -0.021, 11, 0.55, 0.31, -0.018, 11, 0.55, 0.31, -0.017, 11, 11
444, -0.268, -0.0919, -0.301, 0.806, 0.416, 0.108, 0.437, 0.0105, 0.415, 15, 0.62, -0.063, 35, 15, 0.64, -0.46, 37, 15, 0.67, -0.3, 37, 36
383, -0.753, -0.0832, -0.362, 1.97, 1.48, 0.121, 0.932, 0.584, 0.486, 0.55, 0.32, -0.026, 11, 0.55, 0.3, -0.011, 10, 0.52, 0.3, -0.016, 11, 11
562, -0.255, -0.0131, -0.168, 0.726, 0.659, 0.301, 0.317, 0.86, 0.382, 2, 0.17, -0.35, 10, 4.1, 0.28, -0.48, 16, 3, 0.49, 0.18, 19, 15
402, -0.767, -0.0783, -0.427, 1.4, 1.44, 0.245, 0.463, 0.103, 0.0322, 0.57, 0.34, -0.0038, 12, 0.55, 0.33, 0.0051, 11, 0.57, 0.36, 0.0021, 12, 12
346, -0.853, -0.351, -0.154, 1.91, 0.653, 0.0907, 0.468, 0.122, 0.113, 2.3, 0.8, 0.0068, 27, 2.2, 0.73, 0.12, 25, 2.3, 0.78, 0.12, 27, 26
249, -0.456, -0.359, -0.0908, 1.45, 0.178, 0.227, 0.261, 0.98, 0.35, 1.9, 0.31, 0.029, 12, 1.8, 0.25, -0.015, 10, 1.8, 0.27, -0.063, 11, 11
299, -0.699, -0.109, -0.345, 0.821, 0.268, 0.391, 0.103, 0.144, 0.465, 0.73, -0.3, 0.069, 4.8, 0.73, -0.28, 0.065, 4.6, 0.73, -0.28, 0.053, 4.6, 4.6
532, -0.604, -0.249, -0.0999, 0.261, 0.999, 0.201, 0.796, 0.427, 0.148, 0.7, 0.36, 0.024, 13, 0.7, 0.36, 0.044, 13, 0.7, 0.36, 0.042, 12, 13
443, -0.949, -0.0553, -0.334, 0.645, 1.32, 0.323, 0.43, 0.129, 0.144, 0.65, 0.36, 0.0077, 12, 0.6, 0.37, 0.029, 13, 0.6, 0.37, 0.029, 13, 13
384, -0.774, -0.184, -0.158, 0.518, 1.7, 0.249, 0.057, 0.0984, 0.476, 0.55, 0.29, -0.021, 10, 0.57, 0.31, -0.022, 11, 0.57, 0.31, -0.026, 11, 11
264, -0.391, -0.153, -0.44, 0.882, 1.68, 0.259, 0.974, 0.265, 0.0746, 0.52, 0.3, -0.025, 11, 0.52, 0.3, -0.02, 11, 0.52, 0.3, -0.018, 11, 11
466, -0.676, -0.279, -0.118, 1.24, 0.0945, 0.435, 0.187, 0.00971, 0.331, 1.8, -0.38, -0.12, 6.7, 4.5, 0.22, -0.24, 13, 3, -0.27, 0.26, 7.8, 9.2
580, -0.972, -0.093, -0.171, 1.76, 0.785, 0.419, 0.293, 0.456, 0.207, 1, 0.42, 0.06, 15, 1.3, 0.47, 0.042, 17, 0.9, 0.43, 0.053, 15, 15
418, -0.971, -0.382, -0.302, 1.52, 1.86, 0.0577, 0.303, 0.829, 0.0201, 0.52, 0.29, -0.036, 10, 0.52, 0.29, -0.033, 10, 0.52, 0.29, -0.033, 10, 10
467, -0.738, -0.296, -0.419, 0.794, 0.516, 0.445, 0.41, 0.617, 0.332, 0.95, -0.31, 0.077, 5.1, 0.93, -0.3, 0.081, 5.1, 0.95, -0.31, 0.073, 5.2, 5.1
403, -0.346, -0.0983, -0.441, 1.16, 0.356, 0.16, 0.697, 0.539, 0.049, 0.62, -0.33, 0.012, 5, 0.62, -0.33, 0.012, 5, 0.62, -0.33, 0.0085, 4.9, 4.9
591, -0.955, -0.051, -0.117, 1.59, 1.93, 0.0516, 0.342, 0.0808, 0.157, 0.6, 0.29, -0.018, 10, 0.6, 0.3, -0.01, 11, 0.6, 0.3, -0.011, 11, 10
211, -0.745, -0.318, -0.35, 0.657, 1.36, 0.26, 0.517, 0.569, 0.0967, 0.57, 0.32, -0.076, 11, 0.57, 0.32, -0.076, 11, 0.57, 0.3, -0.076, 11, 11
508, -0.237, -0.164, -0.0198, 1.41, 0.654, 0.0876, 0.357, 0.788, 0.241, 0.93, 0.4, -0.055, 14, 1, 0.4, -0.064, 14, 0.98, 0.39, -0.06, 14, 14
574, -0.202, -0.192, -0.437, 1.16, 1.84, 0.464, 0.478, 0.0415, 0.112, 0.52, 0.3, -0.005, 10, 0.52, 0.31, -0.0044, 11, 0.52, 0.31, -0.0032, 11, 11
272, -0.372, -0.0614, -0.189, 0.389, 1.71, 0.446, 0.481, 0.837, 0.271, 0.55, 0.29, -0.0013, 10, 0.57, 0.31, -0.00092, 11, 0.57, 0.31, -2.5e-05, 11, 11
381, -0.891, -0.0474, -0.385, 1.62, 1.79, 0.32, 0.258, 0.0955, 0.0349, 0.5, 0.28, -0.025, 10, 0.5, 0.29, -0.03, 10, 0.5, 0.29, -0.02, 10, 10
322, -0.712, -0.385, -0.228, 0.556, 1.01, 0.465, 0.239, 0.0745, 0.116, 0.7, 0.36, 0.055, 13, 0.7, 0.37, 0.046, 13, 0.7, 0.36, 0.048, 13, 13
241, -0.332, -0.0684, -0.272, 0.68, 0.606, 0.216, 0.362, 0.62, 0.144, 15, 0.99, 0.86, 49, 1.2, -0.22, -0.017, 4.5, 1.2, -0.22, -0.035, 4.4, 19
500, -0.831, -0.0533, -0.341, 0.651, 1.32, 0.0248, 0.0878, 0.387, 0.282, 0.57, 0.33, -0.012, 11, 0.57, 0.33, -0.012, 12, 0.57, 0.34, -0.013, 12, 12
225, -0.706, -0.0325, -0.107, 0.383, 0.855, 0.385, 0.354, 0.231, 0.299, 0.75, 0.32, -0.049, 11, 0.75, 0.3, -0.057, 11, 0.73, 0.29, -0.053, 11, 11
317, -0.878, -0.067, -0.0366, 0.762, 0.175, 0.31, 0.522, 0.00145, 0.0313, 1.1, -0.043, -0.18, 3.9, 1.4, -0.17, 0.016, 4.1, 1.4, -0.16, 0.015, 3.9, 4
460, -0.313, -0.0861, -0.426, 0.239, 0.125, 0.0152, 0.504, 0.074, 0.0878, 0.55, -0.35, -0.0034, 5, 0.55, -0.35, -0.0032, 5, 0.55, -0.35, -0.0026, 5, 5
385, -0.945, -0.147, -0.373, 1.15, 1.32, 0.0501, 0.127, 0.229, 0.487, 0.57, 0.34, -0.038, 12, 0.55, 0.32, -0.033, 11, 0.55, 0.32, -0.028, 11, 12
263, -0.645, -0.0406, -0.0586, 1.54, 0.574, 0.00469, 0.831, 0.902, 0.499, 15, 0.3, -0.45, 28, 1.9, 0.61, 0.006, 21, 15, 0.38, -0.33, 29, 26
240, -0.232, -0.351, -0.333, 0.442, 0.199, 0.377, 0.318, 0.555, 0.271, 0.7, -0.32, -0.089, 5, 0.68, -0.31, -0.08, 4.9, 0.68, -0.31, -0.06, 4.8, 4.9
476, -0.797, -0.0241, -0.413, 1.87, 0.0822, 0.379, 0.738, 0.792, 0.151, 0.6, -0.35, 0.006, 5.1, 0.6, -0.35, -0.012, 5.1, 0.6, -0.35, -0.018, 5.1, 5.1
510, -1.21, -0.161, -0.522, 1.72, 0.786, 0.177, 0.267, 0.186, 0.105, 0.98, -0.33, 0.16, 5.7, 0.98, -0.33, 0.16, 5.6, 0.98, -0.33, 0.15, 5.6, 5.6
566, -0.0833, -0.102, -0.238, 1.37, 0.777, 0.118, 0.314, 0.116, 0.132, 1.2, 0.39, -0.11, 14, 1.2, 0.39, -0.12, 14, 15, 0.029, -0.014, 17, 15
350, -0.7, -0.153, -0.438, 1.64, 1.6, 0.248, 0.35, 0.0703, 0.0117, 0.52, 0.3, -0.024, 10, 0.52, 0.31, -0.015, 11, 0.52, 0.31, -0.028, 11, 11
207, -0.562, -0.146, -0.442, 0.64, 1.51, 0.263, 0.863, 0.294, 0.0744, 0.55, 0.32, -0.041, 11, 0.55, 0.32, -0.045, 11, 0.6, 0.31, -0.07, 11, 11
518, -0.0944, -0.223, -0.5, 0.267, 0.738, 0.166, 0.625, 0.433, 0.206, 1, -0.33, -0.0056, 5.4, 1, -0.34, -0.0076, 5.4, 1, -0.35, -0.0029, 5.5, 5.4
283, -0.393, -0.241, -0.264, 0.352, 0.544, 0.286, 0.615, 0.567, 0.237, 1.2, -0.21, -0.11, 4.6, 1.2, -0.18, -0.14, 4.5, 1.2, -0.24, -0.04, 4.6, 4.6
207, -0.867, -0.404, -0.146, 1.47, 0.423, 0.0767, 0.601, 0.14, 0.63, 1.8, 0.29, -0.061, 11, 1.7, 0.32, -0.066, 12, 1.8, 0.32, 0.015, 12, 12
212, -0.391, -0.33, -0.266, 0.47, 1.1, 0.0611, 0.422, 0.0869, 0.57, 0.62, 0.33, -0.0058, 11, 0.62, 0.34, -0.02, 12, 0.62, 0.34, -0.012, 12, 12
478, -0.837, -0.0221, -0.367, 0.713, 0.33, 0.0599, 0.0619, 0.495, 0.329, 0.77, -0.35, 0.047, 5.3, 0.75, -0.33, 0.038, 5.1, 0.77, -0.34, 0.044, 5.2, 5.2
548, -0.377, -0.0228, -0.133, 0.649, 1.58, 0.319, 0.0639, 0.883, 0.347, 0.6, 0.3, -0.0024, 11, 0.65, 0.31, -0.0072, 11, 0.6, 0.31, -0.0027, 11, 11
