T, A, B, Oc, C, Oj, tj, Dp, Dn, E, t1, dx1, dy1, s1, t2, dx2, dy2, s2, t3, dx3, dy3, s3, savg
339, -0.406, -0.0431, -0.386, 0.481, 0.229, 0.00672, 0.197, 0.306, 0.0809, 0.65, -0.38, 0.005, 5.5, 0.65, -0.38, 0.0055, 5.5, 0.65, -0.38, 0.0053, 5.5, 5.5
643, -0.193, -0.095, -0.304, 0.247, 0.122, 0.261, 0.107, 0.296, 0.137, 0.7, -0.4, -0.004, 5.7, 0.7, -0.4, -0.0043, 5.7, 0.7, -0.4, -0.0034, 5.7, 5.7
775, -0.107, -0.0925, -0.109, 0.469, 0.301, 0.00953, 0.462, 0.212, 0.0799, 30, -0.062, 0.03, 32, 30, -0.085, 0.02, 32, 30, -0.083, 0.02, 32, 32
242, -0.331, -0.225, -0.34, 0.0775, 0.457, 0.0616, 0.294, 0.127, 0.168, 1, -0.35, 0.014, 5.6, 1, -0.35, 0.017, 5.5, 1, -0.34, -0.0094, 5.5, 5.5
294, -0.378, -0.0938, -0.266, 0.728, 0.587, 0.214, 0.0363, 0.108, 0.16, 1.9, -0.16, -0.0047, 4.5, 30, 1.8, 0.87, 87, 1.6, -0.21, 0.073, 4.9, 32
531, -0.417, -0.385, -0.359, 0.469, 0.174, 0.446, 0.139, 0.101, 0.164, 0.7, -0.4, -0.027, 5.8, 0.7, -0.41, -0.02, 5.8, 0.7, -0.41, -0.033, 5.8, 5.8
486, -0.0363, -0.316, -0.25, 0.311, 0.225, 0.475, 0.178, 0.308, 0.14, 4.9, -0.24, -0.15, 8.8, 3.3, -0.33, -0.13, 7.8, 3.3, -0.42, -0.074, 8.6, 8.4
504, -0.111, -0.325, -0.147, 0.244, 0.628, 0.189, 0.373, 0.335, 0.0928, 4.6, 0.098, -0.5, 13, 4.8, 0.25, -0.41, 16, 4.4, 0.22, -0.39, 14, 14
370, -0.582, -0.311, -0.255, 0.0899, 0.476, 0.276, 0.0761, 0.337, 0.113, 1.9, -0.19, -0.2, 5.6, 2.3, -0.18, -0.39, 7.7, 2.2, -0.17, -0.046, 4.9, 6.1
418, -0.152, -0.233, -0.106, 0.645, 0.671, 0.0473, 0.49, 0.25, 0.163, 30, 0.059, 0.0064, 33, 30, 1.1, -1.5, 71, 30, -0.1, -1.1, 42, 48
688, -0.696, -0.0777, -0.374, 0.417, 0.115, 0.27, 0.418, 0.41, 0.0258, 0.6, -0.37, -0.0089, 5.3, 0.6, -0.37, -0.0068, 5.3, 0.6, -0.37, -0.0089, 5.3, 5.3
569, -0.568, -0.025, -0.135, 0.333, 0.477, 0.0741, 0.235, 0.124, 0.166, 3.8, -0.35, -0.1, 8.4, 4.1, -0.3, 0.17, 8.5, 3.8, -0.32, 0.0078, 7.9, 8.3
