-0.000743, -0.000371, 0.35
-0.000359, -0.000358, 0.351
0.0017, -0.000333, 0.353
0.00533, -0.000364, 0.353
0.0103, -0.000434, 0.352
0.0167, -0.00053, 0.351
0.0243, -0.000614, 0.348
0.0333, -0.000588, 0.344
0.0438, -8.08e-05, 0.339
0.0549, 0.000554, 0.335
0.0649, -0.000161, 0.333
0.0741, -0.00254, 0.332
0.0822, -0.00624, 0.332
0.0897, -0.0109, 0.332
0.0958, -0.0144, 0.334
0.101, -0.0157, 0.337
0.106, -0.0155, 0.339
0.111, -0.0139, 0.34
0.114, -0.0109, 0.339
0.118, -0.00645, 0.339
0.122, -0.000765, 0.337
0.126, 0.00571, 0.334
0.129, 0.0118, 0.33
0.131, 0.0156, 0.331
0.132, 0.017, 0.332
0.133, 0.0166, 0.333
0.134, 0.0145, 0.334
0.135, 0.011, 0.334
0.136, 0.0068, 0.332
0.136, 0.00288, 0.326
0.134, 0.00148, 0.328
0.132, 0.00228, 0.331
0.13, 0.00451, 0.333
0.127, 0.0079, 0.333
0.123, 0.012, 0.333
0.119, 0.0166, 0.33
0.116, 0.0204, 0.325
0.114, 0.0205, 0.327
0.113, 0.018, 0.33
0.113, 0.0139, 0.331
0.113, 0.00868, 0.33
0.115, 0.00284, 0.33
0.119, -0.00189, 0.331
0.124, -0.00492, 0.331
0.131, -0.00619, 0.331
0.14, -0.00537, 0.331
0.148, -0.00244, 0.331
0.155, 0.00208, 0.331
0.161, 0.00766, 0.331
0.167, 0.0133, 0.33
0.175, 0.0169, 0.328
0.184, 0.0181, 0.327
0.192, 0.0164, 0.328
0.2, 0.0128, 0.329
0.205, 0.00762, 0.33
0.21, 0.00125, 0.33
0.216, -0.00507, 0.33
0.224, -0.00992, 0.329
0.233, -0.013, 0.328
0.244, -0.0138, 0.328
0.254, -0.0122, 0.329
0.262, -0.00886, 0.33
0.269, -0.00414, 0.331
0.277, 0.000932, 0.33
0.286, 0.00442, 0.327
0.297, 0.00552, 0.325
0.307, 0.00393, 0.325
0.316, 6.14e-05, 0.326
0.324, -0.00556, 0.328
0.331, -0.0123, 0.329
0.339, -0.0189, 0.328
0.348, -0.0242, 0.326
0.36, -0.0277, 0.324
0.37, -0.0281, 0.326
0.379, -0.0263, 0.329
0.388, -0.0228, 0.331
0.396, -0.0182, 0.332
0.404, -0.0132, 0.33
0.413, -0.00857, 0.324
0.424, -0.00633, 0.321
0.433, -0.00713, 0.323
0.441, -0.01, 0.327
0.448, -0.0145, 0.329
